eda,time
0.19213,1760267825.0
0.188288,1760267825.25
0.189569,1760267825.5
0.19213,1760267825.75
0.189569,1760267826.0
0.19213,1760267826.25
0.19213,1760267826.5
0.189569,1760267826.75
0.189569,1760267827.0
0.19213,1760267827.25
0.19213,1760267827.5
0.190849,1760267827.75
0.19213,1760267828.0
0.188288,1760267828.25
0.188288,1760267828.5
0.188288,1760267828.75
0.190849,1760267829.0
0.19213,1760267829.25
0.19213,1760267829.5
0.188288,1760267829.75
0.188288,1760267830.0
0.188288,1760267830.25
0.19213,1760267830.5
0.19213,1760267830.75
0.190849,1760267831.0
0.19213,1760267831.25
0.189569,1760267831.5
0.189569,1760267831.75
0.190849,1760267832.0
0.19213,1760267832.25
0.19213,1760267832.5
0.19213,1760267832.75
0.188288,1760267833.0
0.189569,1760267833.25
0.188288,1760267833.5
0.19213,1760267833.75
0.193411,1760267834.0
0.19213,1760267834.25
0.189569,1760267834.5
0.189569,1760267834.75
0.189569,1760267835.0
0.19213,1760267835.25
0.19213,1760267835.5
0.190849,1760267835.75
0.189569,1760267836.0
0.190849,1760267836.25
0.188288,1760267836.5
0.190849,1760267836.75
0.19213,1760267837.0
0.19213,1760267837.25
0.208782,1760267837.5
0.189569,1760267837.75
0.190849,1760267838.0
0.19213,1760267838.25
0.19213,1760267838.5
0.19213,1760267838.75
0.19213,1760267839.0
0.189569,1760267839.25
0.189569,1760267839.5
0.190849,1760267839.75
0.193411,1760267840.0
0.19213,1760267840.25
0.190849,1760267840.5
0.189569,1760267840.75
0.189569,1760267841.0
0.190849,1760267841.25
0.19213,1760267841.5
0.190849,1760267841.75
0.19213,1760267842.0
0.189569,1760267842.25
0.188288,1760267842.5
0.190849,1760267842.75
0.19213,1760267843.0
0.190849,1760267843.25
0.19213,1760267843.5
0.188288,1760267843.75
0.188288,1760267844.0
0.193411,1760267844.25
0.190849,1760267844.5
0.19213,1760267844.75
0.19213,1760267845.0
0.189569,1760267845.25
0.188288,1760267845.5
0.190849,1760267845.75
0.189569,1760267846.0
0.193411,1760267846.25
0.19213,1760267846.5
0.189569,1760267846.75
0.189569,1760267847.0
0.189569,1760267847.25
0.19213,1760267847.5
0.19213,1760267847.75
0.190849,1760267848.0
0.189569,1760267848.25
0.188288,1760267848.5
0.189569,1760267848.75
0.19213,1760267849.0
0.190849,1760267849.25
0.190849,1760267849.5
0.189569,1760267849.75
0.188288,1760267850.0
0.189569,1760267850.25
0.190849,1760267850.5
0.19213,1760267850.75
0.190849,1760267851.0
0.190849,1760267851.25
0.189569,1760267851.5
0.189569,1760267851.75
0.19213,1760267852.0
0.190849,1760267852.25
0.193411,1760267852.5
0.189569,1760267852.75
0.189569,1760267853.0
0.188288,1760267853.25
0.190849,1760267853.5
0.19213,1760267853.75
0.19213,1760267854.0
0.19213,1760267854.25
0.188288,1760267854.5
0.189569,1760267854.75
0.190849,1760267855.0
0.19213,1760267855.25
0.19213,1760267855.5
0.19213,1760267855.75
0.189569,1760267856.0
0.189569,1760267856.25
0.19213,1760267856.5
0.193411,1760267856.75
0.19213,1760267857.0
0.19213,1760267857.25
0.189569,1760267857.5
0.190849,1760267857.75
0.190849,1760267858.0
0.19213,1760267858.25
0.193411,1760267858.5
0.193411,1760267858.75
0.19213,1760267859.0
0.189569,1760267859.25
0.189569,1760267859.5
0.19213,1760267859.75
0.193411,1760267860.0
0.19213,1760267860.25
0.19213,1760267860.5
0.190849,1760267860.75
0.189569,1760267861.0
0.19213,1760267861.25
0.190849,1760267861.5
0.193411,1760267861.75
0.19213,1760267862.0
0.190849,1760267862.25
0.190849,1760267862.5
0.189569,1760267862.75
0.193411,1760267863.0
0.193411,1760267863.25
0.19213,1760267863.5
0.190849,1760267863.75
0.190849,1760267864.0
0.189569,1760267864.25
0.19213,1760267864.5
0.193411,1760267864.75
0.19213,1760267865.0
0.19213,1760267865.25
0.190849,1760267865.5
0.190849,1760267865.75
0.193411,1760267866.0
0.195973,1760267866.25
0.194692,1760267866.5
0.193411,1760267866.75
0.19213,1760267867.0
0.190849,1760267867.25
0.190849,1760267867.5
0.194692,1760267867.75
0.194692,1760267868.0
0.193411,1760267868.25
0.193411,1760267868.5
0.190849,1760267868.75
0.190849,1760267869.0
0.190849,1760267869.25
0.193411,1760267869.5
0.193411,1760267869.75
0.19213,1760267870.0
0.190849,1760267870.25
0.190849,1760267870.5
0.19213,1760267870.75
0.189569,1760267871.0
0.193411,1760267871.25
0.193411,1760267871.5
0.193411,1760267871.75
0.190849,1760267872.0
0.190849,1760267872.25
0.189569,1760267872.5
0.19213,1760267872.75
0.193411,1760267873.0
0.19213,1760267873.25
0.19213,1760267873.5
0.189569,1760267873.75
0.189569,1760267874.0
0.190849,1760267874.25
0.194692,1760267874.5
0.193411,1760267874.75
0.193411,1760267875.0
0.190849,1760267875.25
0.190849,1760267875.5
0.190849,1760267875.75
0.211343,1760267876.0
0.194692,1760267876.25
0.193411,1760267876.5
0.194692,1760267876.75
0.190849,1760267877.0
0.190849,1760267877.25
0.190849,1760267877.5
0.194692,1760267877.75
0.194692,1760267878.0
0.194692,1760267878.25
0.190849,1760267878.5
0.190849,1760267878.75
0.19213,1760267879.0
0.194692,1760267879.25
0.194692,1760267879.5
0.194692,1760267879.75
0.190849,1760267880.0
0.190849,1760267880.25
0.190849,1760267880.5
0.19213,1760267880.75
0.194692,1760267881.0
0.194692,1760267881.25
0.190849,1760267881.5
0.190849,1760267881.75
0.190849,1760267882.0
0.194692,1760267882.25
0.193411,1760267882.5
0.193411,1760267882.75
0.190849,1760267883.0
0.193411,1760267883.25
0.190849,1760267883.5
0.193411,1760267883.75
0.194692,1760267884.0
0.193411,1760267884.25
0.19213,1760267884.5
0.190849,1760267884.75
0.193411,1760267885.0
0.193411,1760267885.25
0.193411,1760267885.5
0.195973,1760267885.75
0.194692,1760267886.0
0.19213,1760267886.25
0.19213,1760267886.5
0.193411,1760267886.75
0.193411,1760267887.0
0.194692,1760267887.25
0.194692,1760267887.5
0.19213,1760267887.75
0.19213,1760267888.0
0.19213,1760267888.25
0.194692,1760267888.5
0.193411,1760267888.75
0.194692,1760267889.0
0.190849,1760267889.25
0.190849,1760267889.5
0.208782,1760267889.75
0.194692,1760267890.0
0.195973,1760267890.25
0.194692,1760267890.5
0.194692,1760267890.75
0.193411,1760267891.0
0.193411,1760267891.25
0.194692,1760267891.5
0.194692,1760267891.75
0.195973,1760267892.0
0.194692,1760267892.25
0.195973,1760267892.5
0.193411,1760267892.75
0.19213,1760267893.0
0.19213,1760267893.25
0.194692,1760267893.5
0.195973,1760267893.75
0.194692,1760267894.0
0.193411,1760267894.25
0.19213,1760267894.5
0.19213,1760267894.75
0.195973,1760267895.0
0.213905,1760267895.25
0.195973,1760267895.5
0.195973,1760267895.75
0.193411,1760267896.0
0.19213,1760267896.25
0.19213,1760267896.5
0.194692,1760267896.75
0.195973,1760267897.0
0.194692,1760267897.25
0.19213,1760267897.5
0.193411,1760267897.75
0.19213,1760267898.0
0.195973,1760267898.25
0.195973,1760267898.5
0.197254,1760267898.75
0.195973,1760267899.0
0.193411,1760267899.25
0.193411,1760267899.5
0.193411,1760267899.75
0.197254,1760267900.0
0.195973,1760267900.25
0.195973,1760267900.5
0.195973,1760267900.75
0.193411,1760267901.0
0.193411,1760267901.25
