text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
blue,red,0,16,1,3,2000
blue,blue,1,15,1,3,2000
blue,yellow,0,13,4,1,1989
red,blue,0,7,1,3,2000
blue,red,0,16,1,1,1399
yellow,yellow,1,1,4,1,1385
yellow,yellow,1,1,4,1,738
yellow,red,0,4,4,2,973
green,yellow,0,9,4,1,1350
yellow,green,0,2,2,1,1295
blue,red,0,16,1,1,1499
blue,green,0,14,2,1,1654
red,yellow,0,5,4,1,1284
red,green,0,6,2,1,1515
yellow,red,0,4,1,1,1359
blue,green,0,14,2,1,1080
green,red,0,12,1,1,1022
green,blue,0,11,3,1,1347
yellow,red,0,4,1,1,1466
green,red,0,12,1,1,1185
yellow,yellow,1,1,4,1,978
red,red,1,8,1,1,866
red,green,0,6,2,1,1611
blue,green,0,14,2,1,1044
yellow,blue,0,3,3,1,1311
yellow,green,0,2,2,1,1188
green,green,1,10,2,1,838
blue,yellow,0,13,4,1,1191
green,yellow,0,9,4,1,843
red,green,0,6,2,1,1067
yellow,green,0,2,2,1,1064
green,yellow,0,9,4,1,851
blue,yellow,0,13,1,3,2000
green,green,1,10,2,1,973
red,green,0,6,2,1,680
blue,green,0,14,2,1,660
blue,green,0,14,2,1,630
red,yellow,0,5,4,1,1301
blue,yellow,0,13,4,1,745
yellow,red,0,4,1,1,1512
yellow,green,0,2,2,1,986
red,blue,0,7,3,1,1245
blue,blue,1,15,3,1,612
blue,blue,1,15,3,1,620
yellow,green,0,2,2,1,1091
blue,red,0,16,1,1,862
red,blue,0,7,3,1,1005
red,yellow,0,5,4,1,717
red,blue,0,7,3,1,1041
red,red,1,8,1,1,624
red,green,0,6,2,1,808
yellow,blue,0,3,3,1,1435
green,red,0,12,1,1,1119
green,blue,0,11,3,1,1152
green,yellow,0,9,4,1,765
green,green,1,10,2,1,743
blue,blue,1,15,3,1,659
red,green,0,6,2,1,1462
yellow,red,0,4,1,1,944
yellow,green,0,2,2,1,925
red,red,1,8,1,1,713
yellow,yellow,1,1,4,1,715
green,green,1,10,2,1,599
green,green,1,10,2,1,597
yellow,blue,0,3,3,1,1033
blue,blue,1,15,3,1,587
red,yellow,0,5,4,1,1121
green,blue,0,11,3,1,1161
red,red,1,8,1,1,629
red,blue,0,7,3,1,768
blue,blue,1,15,3,1,547
blue,yellow,0,13,4,1,684
green,green,1,10,2,1,916
blue,yellow,0,13,4,1,734
green,blue,0,11,3,1,998
green,yellow,0,9,4,1,821
red,red,1,8,1,1,630
green,red,0,12,1,1,561
blue,red,0,16,1,1,530
red,green,0,6,2,1,868
yellow,yellow,1,1,4,1,663
green,green,1,10,2,1,724
blue,green,0,14,2,1,607
red,yellow,0,5,4,1,686
yellow,red,0,4,1,1,516
blue,green,0,14,2,1,669
red,blue,0,7,3,1,507
green,blue,0,11,3,1,420
yellow,yellow,1,1,4,1,705
red,yellow,0,5,4,1,604
green,red,0,12,1,1,808
blue,yellow,0,13,3,2,993
green,red,0,12,1,1,970
red,green,0,6,2,1,994
green,blue,0,11,3,1,1021
blue,red,0,16,1,1,716
green,yellow,0,9,4,1,887
red,yellow,0,5,4,1,739
blue,red,0,16,1,1,866
red,red,1,8,1,1,595
green,yellow,0,9,4,1,952
yellow,green,0,2,2,1,699
red,yellow,0,5,4,1,754
blue,blue,1,15,3,1,782
green,blue,0,11,3,1,609
red,red,1,8,1,1,943
green,red,0,12,1,1,543
yellow,blue,0,3,3,1,1001
green,green,1,10,2,1,662
yellow,blue,0,3,3,1,1085
green,yellow,0,9,4,1,765
red,blue,0,7,3,1,811
green,blue,0,11,3,1,536
red,blue,0,7,3,1,524
blue,green,0,14,2,1,702
yellow,blue,0,3,3,1,692
blue,blue,1,15,3,1,498
yellow,green,0,2,2,1,721
green,red,0,12,1,1,713
red,red,1,8,1,1,518
