bvp,time
45.58,1769235672.140625
39.69,1769235672.15625
35.2,1769235672.171875
32.17,1769235672.1875
30.33,1769235672.203125
29.06,1769235672.21875
27.51,1769235672.234375
24.83,1769235672.25
20.49,1769235672.265625
14.38,1769235672.28125
6.77,1769235672.296875
-1.84,1769235672.3125
-11.01,1769235672.328125
-20.42,1769235672.34375
-29.97,1769235672.359375
-39.81,1769235672.375
-50.4,1769235672.390625
-62.36,1769235672.40625
-76.15,1769235672.421875
-91.44,1769235672.4375
-106.47,1769235672.453125
-117.96,1769235672.46875
-121.86,1769235672.484375
-114.79,1769235672.5
-95.58,1769235672.515625
-66.15,1769235672.53125
-31.07,1769235672.546875
4.12,1769235672.5625
34.78,1769235672.578125
58.53,1769235672.59375
75.41,1769235672.609375
87.05,1769235672.625
95.25,1769235672.640625
101.0,1769235672.65625
104.28,1769235672.671875
104.57,1769235672.6875
101.63,1769235672.703125
95.91,1769235672.71875
88.53,1769235672.734375
80.76,1769235672.75
73.7,1769235672.765625
67.99,1769235672.78125
63.92,1769235672.796875
61.46,1769235672.8125
60.41,1769235672.828125
60.39,1769235672.84375
60.75,1769235672.859375
60.43,1769235672.875
58.2,1769235672.890625
53.19,1769235672.90625
45.16,1769235672.921875
34.8,1769235672.9375
22.94,1769235672.953125
10.56,1769235672.96875
-1.64,1769235672.984375
-13.47,1769235673.0
-25.59,1769235673.015625
-39.26,1769235673.03125
-55.62,1769235673.046875
-75.22,1769235673.0625
-97.08,1769235673.078125
-119.3,1769235673.09375
-138.26,1769235673.109375
-149.12,1769235673.125
-147.15,1769235673.140625
-129.87,1769235673.15625
-98.32,1769235673.171875
-56.78,1769235673.1875
-12.09,1769235673.203125
28.81,1769235673.21875
59.23,1769235673.234375
75.52,1769235673.25
77.79,1769235673.265625
69.12,1769235673.28125
53.19,1769235673.296875
32.6,1769235673.3125
8.76,1769235673.328125
-18.44,1769235673.34375
-48.75,1769235673.359375
-82.78,1769235673.375
-119.56,1769235673.390625
-156.38,1769235673.40625
-189.64,1769235673.421875
-217.15,1769235673.4375
-239.26,1769235673.453125
-257.63,1769235673.46875
-274.84,1769235673.484375
-279.48,1769235673.5
-263.07,1769235673.515625
-224.71,1769235673.53125
-171.67,1769235673.546875
-113.22,1769235673.5625
