bvp,time
-42.56,1708758212.84375
-51.26,1708758212.859375
-59.51,1708758212.875
-65.13,1708758212.890625
-66.32,1708758212.90625
-62.23,1708758212.921875
-53.26,1708758212.9375
-40.99,1708758212.953125
-27.64,1708758212.96875
-15.41,1708758212.984375
-5.92,1708758213.0
0.12,1708758213.015625
2.93,1708758213.03125
3.43,1708758213.046875
2.81,1708758213.0625
2.1,1708758213.078125
1.91,1708758213.09375
2.42,1708758213.109375
3.45,1708758213.125
4.71,1708758213.140625
5.78,1708758213.15625
6.53,1708758213.171875
7.04,1708758213.1875
7.57,1708758213.203125
8.27,1708758213.21875
9.1,1708758213.234375
9.82,1708758213.25
10.17,1708758213.265625
10.02,1708758213.28125
9.05,1708758213.296875
7.24,1708758213.3125
4.85,1708758213.328125
2.13,1708758213.34375
-0.94,1708758213.359375
-4.62,1708758213.375
-9.06,1708758213.390625
-14.18,1708758213.40625
-19.48,1708758213.421875
-24.98,1708758213.4375
-30.35,1708758213.453125
-34.93,1708758213.46875
-38.2,1708758213.484375
-40.32,1708758213.5
-42.06,1708758213.515625
-44.44,1708758213.53125
-48.3,1708758213.546875
-53.74,1708758213.5625
-61.4,1708758213.578125
-70.92,1708758213.59375
-80.89,1708758213.609375
-89.7,1708758213.625
-96.59,1708758213.640625
-101.8,1708758213.65625
-105.81,1708758213.671875
-108.97,1708758213.6875
-110.63,1708758213.703125
-111.31,1708758213.71875
-111.05,1708758213.734375
-109.17,1708758213.75
-104.86,1708758213.765625
-97.82,1708758213.78125
-87.91,1708758213.796875
-74.35,1708758213.8125
-55.91,1708758213.828125
-22.41,1708758213.84375
27.04,1708758213.859375
82.82,1708758213.875
131.68,1708758213.890625
165.45,1708758213.90625
182.38,1708758213.921875
183.85,1708758213.9375
174.87,1708758213.953125
157.7,1708758213.96875
135.76,1708758213.984375
112.61,1708758214.0
93.07,1708758214.015625
82.07,1708758214.03125
82.71,1708758214.046875
94.66,1708758214.0625
113.7,1708758214.078125
131.67,1708758214.09375
137.89,1708758214.109375
124.92,1708758214.125
90.97,1708758214.140625
41.48,1708758214.15625
-13.45,1708758214.171875
-62.8,1708758214.1875
-97.88,1708758214.203125
-114.5,1708758214.21875
-113.27,1708758214.234375
-99.01,1708758214.25
-77.9,1708758214.265625
-56.6,1708758214.28125
-39.58,1708758214.296875
-28.29,1708758214.3125
-21.97,1708758214.328125
-19.28,1708758214.34375
-19.38,1708758214.359375
-21.97,1708758214.375
-26.7,1708758214.390625
-32.21,1708758214.40625
-37.11,1708758214.421875
-40.22,1708758214.4375
-41.05,1708758214.453125
-40.08,1708758214.46875
-38.63,1708758214.484375
-38.29,1708758214.5
-40.1,1708758214.515625
-44.08,1708758214.53125
-48.91,1708758214.546875
-52.92,1708758214.5625
-54.73,1708758214.578125
-53.72,1708758214.59375
-50.12,1708758214.609375
-44.75,1708758214.625
-38.62,1708758214.640625
-32.45,1708758214.65625
-26.72,1708758214.671875
-20.73,1708758214.6875
-13.77,1708758214.703125
-5.55,1708758214.71875
3.59,1708758214.734375
12.93,1708758214.75
21.56,1708758214.765625
28.76,1708758214.78125
34.15,1708758214.796875
37.74,1708758214.8125
39.83,1708758214.828125
40.97,1708758214.84375
41.42,1708758214.859375
41.24,1708758214.875
40.4,1708758214.890625
38.96,1708758214.90625
37.19,1708758214.921875
35.48,1708758214.9375
34.17,1708758214.953125
33.37,1708758214.96875
33.28,1708758214.984375
33.66,1708758215.0
34.14,1708758215.015625
34.39,1708758215.03125
34.37,1708758215.046875
34.29,1708758215.0625
34.61,1708758215.078125
35.82,1708758215.09375
38.51,1708758215.109375
43.66,1708758215.125
51.57,1708758215.140625
61.58,1708758215.15625
71.98,1708758215.171875
80.39,1708758215.1875
84.57,1708758215.203125
83.43,1708758215.21875
77.73,1708758215.234375
66.28,1708758215.25
51.18,1708758215.265625
35.19,1708758215.28125
20.57,1708758215.296875
8.43,1708758215.3125
-1.14,1708758215.328125
-8.59,1708758215.34375
-14.35,1708758215.359375
-18.75,1708758215.375
-22.16,1708758215.390625
-24.63,1708758215.40625
-26.75,1708758215.421875
-29.24,1708758215.4375
-32.55,1708758215.453125
-36.47,1708758215.46875
-40.38,1708758215.484375
-43.44,1708758215.5
-45.21,1708758215.515625
-45.86,1708758215.53125
-45.73,1708758215.546875
-45.67,1708758215.5625
-46.49,1708758215.578125
-48.59,1708758215.59375
-51.71,1708758215.609375
-55.17,1708758215.625
-58.2,1708758215.640625
-60.38,1708758215.65625
-61.86,1708758215.671875
-63.07,1708758215.6875
-64.89,1708758215.703125
-68.22,1708758215.71875
-73.53,1708758215.734375
-80.6,1708758215.75
-88.28,1708758215.765625
-94.75,1708758215.78125
-97.88,1708758215.796875
-95.82,1708758215.8125
-87.51,1708758215.828125
-73.11,1708758215.84375
-54.01,1708758215.859375
-32.41,1708758215.875
-10.73,1708758215.890625
8.97,1708758215.90625
25.33,1708758215.921875
37.84,1708758215.9375
46.68,1708758215.953125
52.45,1708758215.96875
55.86,1708758215.984375
57.51,1708758216.0
57.82,1708758216.015625
57.12,1708758216.03125
55.67,1708758216.046875
53.84,1708758216.0625
51.96,1708758216.078125
50.34,1708758216.09375
49.07,1708758216.109375
48.02,1708758216.125
46.99,1708758216.140625
45.83,1708758216.15625
44.66,1708758216.171875
43.76,1708758216.1875
43.53,1708758216.203125
44.14,1708758216.21875
45.32,1708758216.234375
46.4,1708758216.25
46.51,1708758216.265625
44.98,1708758216.28125
41.65,1708758216.296875
36.95,1708758216.3125
31.71,1708758216.328125
26.81,1708758216.34375
22.72,1708758216.359375
19.41,1708758216.375
16.34,1708758216.390625
12.84,1708758216.40625
8.41,1708758216.421875
2.96,1708758216.4375
-3.12,1708758216.453125
-9.2,1708758216.46875
-14.71,1708758216.484375
-19.35,1708758216.5
-23.22,1708758216.515625
-26.82,1708758216.53125
-30.84,1708758216.546875
-35.99,1708758216.5625
-42.84,1708758216.578125
-51.54,1708758216.59375
-61.65,1708758216.609375
-72.04,1708758216.625
-81.04,1708758216.640625
-86.68,1708758216.65625
-87.26,1708758216.671875
-81.92,1708758216.6875
-70.92,1708758216.703125
-55.61,1708758216.71875
-37.94,1708758216.734375
-19.92,1708758216.75
-3.06,1708758216.765625
11.77,1708758216.78125
24.26,1708758216.796875
34.43,1708758216.8125
42.4,1708758216.828125
48.35,1708758216.84375
52.59,1708758216.859375
55.68,1708758216.875
58.35,1708758216.890625
61.39,1708758216.90625
65.38,1708758216.921875
70.36,1708758216.9375
75.78,1708758216.953125
80.54,1708758216.96875
83.31,1708758216.984375
82.96,1708758217.0
78.97,1708758217.015625
71.6,1708758217.03125
61.9,1708758217.046875
51.44,1708758217.0625
41.88,1708758217.078125
34.59,1708758217.09375
30.37,1708758217.109375
29.18,1708758217.125
30.15,1708758217.140625
31.78,1708758217.15625
32.21,1708758217.171875
29.79,1708758217.1875
23.45,1708758217.203125
13.07,1708758217.21875
-0.5,1708758217.234375
-15.68,1708758217.25
-30.7,1708758217.265625
-44.08,1708758217.28125
-54.85,1708758217.296875
-62.62,1708758217.3125
-67.43,1708758217.328125
-69.59,1708758217.34375
-69.72,1708758217.359375
-68.63,1708758217.375
-67.22,1708758217.390625
-66.21,1708758217.40625
-65.9,1708758217.421875
-66.18,1708758217.4375
-66.83,1708758217.453125
-67.93,1708758217.46875
-70.0,1708758217.484375
-73.75,1708758217.5
-79.36,1708758217.515625
