PPG GREEN,time
2246395.0,1708758212.876
2245757.0,1708758212.916
2245987.0,1708758212.956
2245402.0,1708758212.997
2244412.0,1708758213.036
2243812.0,1708758213.076
2243703.0,1708758213.118
2243968.0,1708758213.156
2244886.0,1708758213.196
2245687.0,1708758213.237
2247014.0,1708758213.276
2247943.0,1708758213.317
2249076.0,1708758213.357
2249719.0,1708758213.397
2250008.0,1708758213.437
2250228.0,1708758213.478
2251577.0,1708758213.518
2250143.0,1708758213.557
2245553.0,1708758213.598
2240080.0,1708758213.637
2236199.0,1708758213.677
2233811.0,1708758213.719
2232190.0,1708758213.757
2231836.0,1708758213.797
2232243.0,1708758213.838
2232478.0,1708758213.877
2232597.0,1708758213.918
2232530.0,1708758213.959
2232729.0,1708758213.998
2233985.0,1708758214.038
2236193.0,1708758214.079
2238356.0,1708758214.119
2242237.0,1708758214.158
2246267.0,1708758214.199
2250566.0,1708758214.238
2253498.0,1708758214.278
2257436.0,1708758214.32
2260767.0,1708758214.358
2263162.0,1708758214.398
2261363.0,1708758214.44
2257595.0,1708758214.479
2253941.0,1708758214.52
2252180.0,1708758214.56
2251241.0,1708758214.599
2251136.0,1708758214.639
2252118.0,1708758214.68
2252862.0,1708758214.72
2252750.0,1708758214.759
2252661.0,1708758214.8
2252568.0,1708758214.839
2253241.0,1708758214.879
2253259.0,1708758214.921
2254262.0,1708758214.96
2255826.0,1708758215.0
2256763.0,1708758215.041
2257912.0,1708758215.08
2258968.0,1708758215.121
2259930.0,1708758215.161
2260776.0,1708758215.2
2262499.0,1708758215.24
2263982.0,1708758215.281
2265824.0,1708758215.321
2268037.0,1708758215.36
2266616.0,1708758215.402
2263035.0,1708758215.441
2258594.0,1708758215.481
2256137.0,1708758215.523
2254355.0,1708758215.561
2253280.0,1708758215.601
2253253.0,1708758215.642
2253182.0,1708758215.681
2253101.0,1708758215.722
2252675.0,1708758215.762
2252611.0,1708758215.801
2252775.0,1708758215.842
2253681.0,1708758215.883
2254861.0,1708758215.923
2256742.0,1708758215.962
2259030.0,1708758216.003
2261227.0,1708758216.042
2263423.0,1708758216.082
2265546.0,1708758216.124
2267738.0,1708758216.162
2270068.0,1708758216.202
2272371.0,1708758216.243
2275030.0,1708758216.282
2274317.0,1708758216.324
2270703.0,1708758216.364
2267916.0,1708758216.403
2267286.0,1708758216.443
2267724.0,1708758216.484
2268378.0,1708758216.524
2269630.0,1708758216.563
2272612.0,1708758216.604
2274075.0,1708758216.643
2273199.0,1708758216.683
2272469.0,1708758216.726
2273050.0,1708758216.763
2276344.0,1708758216.804
2280447.0,1708758216.845
2283246.0,1708758216.884
2286213.0,1708758216.925
2290289.0,1708758216.965
2294524.0,1708758217.004
2298455.0,1708758217.044
2302050.0,1708758217.085
2305920.0,1708758217.125
2309440.0,1708758217.164
2313089.0,1708758217.206
2317528.0,1708758217.245
2321126.0,1708758217.285
2321276.0,1708758217.327
2318431.0,1708758217.365
2315788.0,1708758217.405
2314833.0,1708758217.446
2316195.0,1708758217.485
2318401.0,1708758217.526
2320398.0,1708758217.566
2322322.0,1708758217.605
2323620.0,1708758217.646
2324552.0,1708758217.687
2325874.0,1708758217.726
2327106.0,1708758217.766
2328040.0,1708758217.807
2329068.0,1708758217.846
2330090.0,1708758217.886
2331502.0,1708758217.928
2333021.0,1708758217.966
2334242.0,1708758218.006
2335956.0,1708758218.048
2337418.0,1708758218.087
2338488.0,1708758218.127
2339499.0,1708758218.168
2341040.0,1708758218.207
2342355.0,1708758218.247
2343139.0,1708758218.288
2340046.0,1708758218.328
2335629.0,1708758218.367
2331818.0,1708758218.408
2330261.0,1708758218.447
2328518.0,1708758218.488
2328363.0,1708758218.529
2329133.0,1708758218.568
2329159.0,1708758218.608
2328867.0,1708758218.649
2329176.0,1708758218.688
2330205.0,1708758218.729
2335159.0,1708758218.769
2341497.0,1708758218.808
2346715.0,1708758218.848
2352270.0,1708758218.881
2357598.0,1708758218.921
2361743.0,1708758218.958
2365398.0,1708758218.999
2368083.0,1708758219.038
2371577.0,1708758219.079
2374260.0,1708758219.121
2375368.0,1708758219.159
2373602.0,1708758219.199
2371362.0,1708758219.241
2372105.0,1708758219.28
2372318.0,1708758219.321
2369555.0,1708758219.359
2367399.0,1708758219.398
2366254.0,1708758219.439
2364218.0,1708758219.48
2371637.0,1708758219.52
2385740.0,1708758219.559
2402082.0,1708758219.601
2409497.0,1708758219.64
2410707.0,1708758219.68
2407570.0,1708758219.722
2400297.0,1708758219.758
2392833.0,1708758219.799
2388039.0,1708758219.84
2386736.0,1708758219.879
2388273.0,1708758219.92
2389962.0,1708758219.961
2392875.0,1708758220.0
2395081.0,1708758220.04
2395548.0,1708758220.081
2399528.0,1708758220.121
2407568.0,1708758220.158
