temp,time
33.45,1644481153.5
33.45,1644481153.75
33.45,1644481154.0
33.45,1644481154.25
33.45,1644481154.5
33.45,1644481154.75
33.45,1644481155.0
33.47,1644481155.25
33.47,1644481155.5
33.47,1644481155.75
33.47,1644481156.0
33.47,1644481156.25
33.47,1644481156.5
33.47,1644481156.75
33.47,1644481157.0
33.45,1644481157.25
33.45,1644481157.5
33.45,1644481157.75
33.45,1644481158.0
33.45,1644481158.25
33.45,1644481158.5
33.45,1644481158.75
33.45,1644481159.0
33.43,1644481159.25
33.43,1644481159.5
33.43,1644481159.75
33.43,1644481160.0
33.45,1644481160.25
33.45,1644481160.5
33.45,1644481160.75
33.45,1644481161.0
33.43,1644481161.25
33.43,1644481161.5
33.43,1644481161.75
33.43,1644481162.0
33.43,1644481162.25
33.43,1644481162.5
33.43,1644481162.75
33.43,1644481163.0
33.41,1644481163.25
33.41,1644481163.5
33.41,1644481163.75
33.41,1644481164.0
33.41,1644481164.25
33.41,1644481164.5
33.41,1644481164.75
33.41,1644481165.0
33.41,1644481165.25
33.41,1644481165.5
33.41,1644481165.75
33.41,1644481166.0
33.41,1644481166.25
33.41,1644481166.5
33.41,1644481166.75
33.41,1644481167.0
33.39,1644481167.25
33.39,1644481167.5
33.39,1644481167.75
33.39,1644481168.0
33.39,1644481168.25
33.39,1644481168.5
33.39,1644481168.75
33.39,1644481169.0
33.41,1644481169.25
33.41,1644481169.5
33.41,1644481169.75
33.41,1644481170.0
33.39,1644481170.25
33.39,1644481170.5
33.39,1644481170.75
33.39,1644481171.0
33.39,1644481171.25
33.39,1644481171.5
33.39,1644481171.75
33.39,1644481172.0
33.39,1644481172.25
33.39,1644481172.5
33.39,1644481172.75
33.39,1644481173.0
33.39,1644481173.25
33.39,1644481173.5
33.39,1644481173.75
33.39,1644481174.0
33.37,1644481174.25
33.37,1644481174.5
33.37,1644481174.75
33.37,1644481175.0
33.34,1644481175.25
33.34,1644481175.5
33.34,1644481175.75
33.34,1644481176.0
33.37,1644481176.25
33.37,1644481176.5
33.37,1644481176.75
33.37,1644481177.0
33.34,1644481177.25
33.34,1644481177.5
33.34,1644481177.75
33.34,1644481178.0
33.34,1644481178.25
33.34,1644481178.5
33.34,1644481178.75
33.34,1644481179.0
33.37,1644481179.25
33.37,1644481179.5
33.37,1644481179.75
33.37,1644481180.0
33.34,1644481180.25
33.34,1644481180.5
33.34,1644481180.75
33.34,1644481181.0
33.34,1644481181.25
33.34,1644481181.5
33.34,1644481181.75
33.34,1644481182.0
33.33,1644481182.25
33.33,1644481182.5
33.33,1644481182.75
33.33,1644481183.0
33.34,1644481183.25
33.34,1644481183.5
33.34,1644481183.75
33.34,1644481184.0
33.33,1644481184.25
33.33,1644481184.5
33.33,1644481184.75
33.33,1644481185.0
33.33,1644481185.25
33.33,1644481185.5
