text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
blue,blue,1,15,3,1,1180
green,yellow,0,9,1,3,2000
red,red,1,8,1,1,1772
red,green,0,6,2,1,1032
blue,yellow,0,13,3,2,1184
red,blue,0,7,3,1,936
red,green,0,6,2,1,863
yellow,blue,0,3,3,1,1109
blue,red,0,16,1,1,741
red,blue,0,7,3,1,1221
green,blue,0,11,3,1,889
green,green,1,10,2,1,985
green,red,0,12,1,1,1205
blue,green,0,14,1,2,1175
blue,green,0,14,2,1,719
green,green,1,10,2,1,431
green,yellow,0,9,4,1,858
red,red,1,8,1,1,649
green,green,1,10,2,1,735
yellow,red,0,4,1,1,1119
yellow,red,0,4,1,1,639
red,yellow,0,5,4,1,790
red,yellow,0,5,4,1,426
yellow,blue,0,3,3,1,1150
yellow,yellow,1,1,4,1,1313
yellow,yellow,1,1,4,1,397
red,red,1,8,1,1,499
yellow,red,0,4,1,1,381
yellow,yellow,1,1,4,1,1026
blue,red,0,16,1,1,1583
red,green,0,6,2,1,807
blue,red,0,16,1,1,1080
yellow,green,0,2,2,1,956
yellow,red,0,4,1,1,817
yellow,green,0,2,2,1,760
green,red,0,12,1,1,677
yellow,blue,0,3,3,1,856
yellow,blue,0,3,3,1,514
yellow,green,0,2,1,2,916
red,yellow,0,5,4,1,808
blue,yellow,0,13,4,1,1339
blue,green,0,14,2,1,669
yellow,green,0,2,2,1,346
blue,blue,1,15,1,2,921
green,green,1,10,2,1,613
green,yellow,0,9,4,1,963
red,yellow,0,5,4,1,1405
blue,red,0,16,1,1,638
green,red,0,12,1,1,391
blue,green,0,14,2,1,1401
green,red,0,12,1,1,900
blue,blue,1,15,3,1,770
green,yellow,0,9,4,1,970
blue,yellow,0,13,4,1,414
blue,blue,1,15,3,1,1239
green,blue,0,11,3,1,591
yellow,yellow,1,1,4,1,871
green,blue,0,11,2,2,652
red,blue,0,7,4,2,573
green,blue,0,11,3,1,339
