emda,time
0.115299,1644481183.5
0.112737,1644481183.75
0.111456,1644481184.0
0.111456,1644481184.25
0.115299,1644481184.5
0.11658,1644481184.75
0.115299,1644481185.0
0.114018,1644481185.25
0.112737,1644481185.5
0.111456,1644481185.75
0.115299,1644481186.0
0.11658,1644481186.25
0.11658,1644481186.5
0.11658,1644481186.75
0.115299,1644481187.0
0.112737,1644481187.25
0.112737,1644481187.5
0.117861,1644481187.75
0.11658,1644481188.0
0.117861,1644481188.25
0.11658,1644481188.5
0.114018,1644481188.75
0.115299,1644481189.0
0.114018,1644481189.25
0.115299,1644481189.5
0.115299,1644481189.75
0.11658,1644481190.0
0.114018,1644481190.25
0.114018,1644481190.5
0.114018,1644481190.75
0.115299,1644481191.0
0.11658,1644481191.25
0.11658,1644481191.5
0.11658,1644481191.75
0.115299,1644481192.0
0.112737,1644481192.25
0.112737,1644481192.5
0.112737,1644481192.75
0.11658,1644481193.0
0.117861,1644481193.25
0.115299,1644481193.5
0.115299,1644481193.75
0.112737,1644481194.0
0.114018,1644481194.25
0.111456,1644481194.5
0.11658,1644481194.75
0.11658,1644481195.0
0.11658,1644481195.25
0.114018,1644481195.5
0.112737,1644481195.75
0.114018,1644481196.0
0.11658,1644481196.25
0.117861,1644481196.5
0.115299,1644481196.75
0.11658,1644481197.0
0.112737,1644481197.25
0.112737,1644481197.5
0.112737,1644481197.75
0.115299,1644481198.0
0.11658,1644481198.25
0.115299,1644481198.5
0.115299,1644481198.75
0.114018,1644481199.0
0.112737,1644481199.25
0.112737,1644481199.5
0.117861,1644481199.75
0.11658,1644481200.0
0.117861,1644481200.25
0.11658,1644481200.5
0.115299,1644481200.75
0.115299,1644481201.0
0.115299,1644481201.25
0.115299,1644481201.5
0.117861,1644481201.75
0.115299,1644481202.0
0.11658,1644481202.25
0.114018,1644481202.5
0.115299,1644481202.75
0.112737,1644481203.0
0.117861,1644481203.25
0.117861,1644481203.5
0.117861,1644481203.75
0.114018,1644481204.0
0.114018,1644481204.25
0.112737,1644481204.5
0.117861,1644481204.75
0.117861,1644481205.0
0.11658,1644481205.25
0.115299,1644481205.5
0.115299,1644481205.75
0.112737,1644481206.0
0.115299,1644481206.25
0.11658,1644481206.5
0.119142,1644481206.75
0.117861,1644481207.0
0.117861,1644481207.25
0.115299,1644481207.5
0.115299,1644481207.75
0.117861,1644481208.0
0.119142,1644481208.25
0.11658,1644481208.5
0.117861,1644481208.75
0.115299,1644481209.0
0.112737,1644481209.25
0.115299,1644481209.5
0.117861,1644481209.75
0.119142,1644481210.0
0.117861,1644481210.25
0.117861,1644481210.5
0.115299,1644481210.75
0.114018,1644481211.0
0.114018,1644481211.25
0.117861,1644481211.5
0.117861,1644481211.75
0.117861,1644481212.0
0.117861,1644481212.25
0.117861,1644481212.5
0.114018,1644481212.75
0.11658,1644481213.0
0.114018,1644481213.25
0.11658,1644481213.5
0.117861,1644481213.75
0.117861,1644481214.0
0.11658,1644481214.25
0.115299,1644481214.5
0.11658,1644481214.75
0.114018,1644481215.0
0.117861,1644481215.25
0.119142,1644481215.5
0.119142,1644481215.75
0.117861,1644481216.0
0.115299,1644481216.25
0.114018,1644481216.5
0.115299,1644481216.75
0.11658,1644481217.0
0.11658,1644481217.25
0.120423,1644481217.5
0.117861,1644481217.75
0.115299,1644481218.0
0.11658,1644481218.25
0.115299,1644481218.5
0.11658,1644481218.75
0.119142,1644481219.0
0.119142,1644481219.25
0.120423,1644481219.5
0.115299,1644481219.75
0.11658,1644481220.0
0.11658,1644481220.25
0.117861,1644481220.5
0.117861,1644481220.75
0.117861,1644481221.0
0.11658,1644481221.25
0.114018,1644481221.5
0.114018,1644481221.75
0.114018,1644481222.0
0.117861,1644481222.25
0.119142,1644481222.5
0.119142,1644481222.75
0.11658,1644481223.0
0.114018,1644481223.25
0.115299,1644481223.5
0.11658,1644481223.75
0.119142,1644481224.0
0.119142,1644481224.25
0.119142,1644481224.5
0.11658,1644481224.75
0.115299,1644481225.0
0.11658,1644481225.25
0.114018,1644481225.5
0.117861,1644481225.75
0.119142,1644481226.0
0.120423,1644481226.25
0.117861,1644481226.5
0.115299,1644481226.75
0.11658,1644481227.0
0.115299,1644481227.25
0.117861,1644481227.5
0.119142,1644481227.75
0.119142,1644481228.0
0.119142,1644481228.25
0.115299,1644481228.5
0.115299,1644481228.75
0.11658,1644481229.0
0.115299,1644481229.25
0.119142,1644481229.5
0.119142,1644481229.75
0.119142,1644481230.0
0.119142,1644481230.25
0.115299,1644481230.5
0.11658,1644481230.75
0.11658,1644481231.0
0.119142,1644481231.25
0.117861,1644481231.5
0.119142,1644481231.75
0.119142,1644481232.0
0.11658,1644481232.25
0.11658,1644481232.5
0.11658,1644481232.75
0.120423,1644481233.0
0.120423,1644481233.25
0.120423,1644481233.5
0.117861,1644481233.75
0.11658,1644481234.0
0.11658,1644481234.25
0.115299,1644481234.5
0.11658,1644481234.75
0.120423,1644481235.0
0.119142,1644481235.25
0.120423,1644481235.5
0.119142,1644481235.75
0.11658,1644481236.0
0.11658,1644481236.25
0.119142,1644481236.5
0.117861,1644481236.75
0.120423,1644481237.0
0.119142,1644481237.25
0.11658,1644481237.5
0.119142,1644481237.75
0.117861,1644481238.0
0.119142,1644481238.25
0.120423,1644481238.5
0.120423,1644481238.75
0.120423,1644481239.0
0.119142,1644481239.25
0.117861,1644481239.5
0.117861,1644481239.75
0.117861,1644481240.0
0.119142,1644481240.25
0.119142,1644481240.5
0.119142,1644481240.75
0.120423,1644481241.0
0.11658,1644481241.25
0.11658,1644481241.5
0.11658,1644481241.75
0.134515,1644481242.0
0.120423,1644481242.25
0.120423,1644481242.5
0.119142,1644481242.75
0.11658,1644481243.0
0.117861,1644481243.25
0.11658,1644481243.5
0.121704,1644481243.75
0.121704,1644481244.0
0.119142,1644481244.25
0.117861,1644481244.5
0.119142,1644481244.75
0.117861,1644481245.0
0.120423,1644481245.25
0.121704,1644481245.5
0.119142,1644481245.75
0.120423,1644481246.0
0.117861,1644481246.25
0.117861,1644481246.5
0.117861,1644481246.75
0.119142,1644481247.0
0.121704,1644481247.25
0.121704,1644481247.5
0.121704,1644481247.75
0.117861,1644481248.0
0.117861,1644481248.25
0.117861,1644481248.5
0.119142,1644481248.75
0.122986,1644481249.0
0.122986,1644481249.25
0.121704,1644481249.5
0.120423,1644481249.75
0.119142,1644481250.0
0.133234,1644481250.25
0.120423,1644481250.5
0.121704,1644481250.75
0.122986,1644481251.0
0.120423,1644481251.25
0.121704,1644481251.5
0.117861,1644481251.75
0.117861,1644481252.0
0.119142,1644481252.25
0.119142,1644481252.5
0.119142,1644481252.75
0.121704,1644481253.0
0.120423,1644481253.25
0.117861,1644481253.5
0.117861,1644481253.75
0.117861,1644481254.0
0.121704,1644481254.25
0.121704,1644481254.5
0.121704,1644481254.75
0.120423,1644481255.0
0.121704,1644481255.25
0.119142,1644481255.5
0.134515,1644481255.75
0.117861,1644481256.0
0.121704,1644481256.25
0.122986,1644481256.5
0.121704,1644481256.75
0.121704,1644481257.0
0.119142,1644481257.25
0.117861,1644481257.5
0.117861,1644481257.75
0.120423,1644481258.0
0.122986,1644481258.25
0.122986,1644481258.5
0.119142,1644481258.75
0.119142,1644481259.0
0.120423,1644481259.25
0.119142,1644481259.5
0.122986,1644481259.75
0.122986,1644481260.0
0.122986,1644481260.25
0.122986,1644481260.5
0.119142,1644481260.75
0.119142,1644481261.0
0.120423,1644481261.25
0.121704,1644481261.5
0.122986,1644481261.75
0.122986,1644481262.0
0.122986,1644481262.25
0.119142,1644481262.5
0.119142,1644481262.75
0.120423,1644481263.0
0.124267,1644481263.25
0.120423,1644481263.5
0.125548,1644481263.75
0.124267,1644481264.0
0.120423,1644481264.25
0.120423,1644481264.5
0.119142,1644481264.75
0.120423,1644481265.0
0.121704,1644481265.25
0.122986,1644481265.5
0.122986,1644481265.75
0.119142,1644481266.0
0.119142,1644481266.25
0.119142,1644481266.5
0.122986,1644481266.75
0.121704,1644481267.0
0.121704,1644481267.25
0.121704,1644481267.5
0.119142,1644481267.75
0.120423,1644481268.0
0.120423,1644481268.25
0.121704,1644481268.5
0.124267,1644481268.75
0.122986,1644481269.0
0.122986,1644481269.25
0.120423,1644481269.5
0.119142,1644481269.75
0.120423,1644481270.0
0.124267,1644481270.25
0.122986,1644481270.5
0.124267,1644481270.75
0.120423,1644481271.0
0.119142,1644481271.25
0.119142,1644481271.5
0.120423,1644481271.75
0.121704,1644481272.0
0.121704,1644481272.25
0.121704,1644481272.5
0.121704,1644481272.75
0.120423,1644481273.0
0.119142,1644481273.25
0.119142,1644481273.5
0.124267,1644481273.75
0.119142,1644481274.0
0.124267,1644481274.25
0.124267,1644481274.5
0.121704,1644481274.75
0.122986,1644481275.0
0.117861,1644481275.25
0.120423,1644481275.5
0.122986,1644481275.75
0.124267,1644481276.0
0.122986,1644481276.25
0.119142,1644481276.5
0.120423,1644481276.75
0.120423,1644481277.0
0.121704,1644481277.25
0.121704,1644481277.5
0.121704,1644481277.75
0.122986,1644481278.0
0.119142,1644481278.25
0.120423,1644481278.5
0.122986,1644481278.75
0.122986,1644481279.0
0.125548,1644481279.25
0.124267,1644481279.5
0.120423,1644481279.75
0.120423,1644481280.0
0.120423,1644481280.25
0.122986,1644481280.5
0.122986,1644481280.75
0.122986,1644481281.0
0.121704,1644481281.25
0.120423,1644481281.5
0.119142,1644481281.75
0.122986,1644481282.0
0.121704,1644481282.25
