temp,time
34.37,1600928302.25
34.37,1600928302.5
34.37,1600928302.75
34.37,1600928303.0
34.39,1600928303.25
34.39,1600928303.5
34.39,1600928303.75
34.39,1600928304.0
34.37,1600928304.25
34.37,1600928304.5
34.37,1600928304.75
34.37,1600928305.0
34.37,1600928305.25
34.37,1600928305.5
34.37,1600928305.75
34.37,1600928306.0
34.34,1600928306.25
34.34,1600928306.5
34.34,1600928306.75
34.34,1600928307.0
34.34,1600928307.25
34.34,1600928307.5
34.34,1600928307.75
34.34,1600928308.0
34.34,1600928308.25
34.34,1600928308.5
34.34,1600928308.75
34.34,1600928309.0
34.34,1600928309.25
34.34,1600928309.5
34.34,1600928309.75
34.34,1600928310.0
34.34,1600928310.25
34.34,1600928310.5
34.34,1600928310.75
34.34,1600928311.0
34.34,1600928311.25
34.34,1600928311.5
34.34,1600928311.75
34.34,1600928312.0
34.33,1600928312.25
34.33,1600928312.5
34.33,1600928312.75
34.33,1600928313.0
34.33,1600928313.25
34.33,1600928313.5
34.33,1600928313.75
34.33,1600928314.0
34.33,1600928314.25
34.33,1600928314.5
34.33,1600928314.75
34.33,1600928315.0
34.33,1600928315.25
34.33,1600928315.5
34.33,1600928315.75
34.33,1600928316.0
34.33,1600928316.25
34.33,1600928316.5
34.33,1600928316.75
34.33,1600928317.0
34.31,1600928317.25
34.31,1600928317.5
34.31,1600928317.75
34.31,1600928318.0
34.31,1600928318.25
34.31,1600928318.5
34.31,1600928318.75
34.31,1600928319.0
34.33,1600928319.25
34.33,1600928319.5
34.33,1600928319.75
34.33,1600928320.0
34.34,1600928320.25
34.34,1600928320.5
34.34,1600928320.75
34.34,1600928321.0
34.31,1600928321.25
34.31,1600928321.5
34.31,1600928321.75
34.31,1600928322.0
34.31,1600928322.25
34.31,1600928322.5
34.31,1600928322.75
34.31,1600928323.0
34.33,1600928323.25
34.33,1600928323.5
34.33,1600928323.75
34.33,1600928324.0
34.31,1600928324.25
34.31,1600928324.5
34.31,1600928324.75
34.31,1600928325.0
34.33,1600928325.25
34.33,1600928325.5
34.33,1600928325.75
34.33,1600928326.0
34.34,1600928326.25
34.34,1600928326.5
34.34,1600928326.75
34.34,1600928327.0
34.31,1600928327.25
34.31,1600928327.5
34.31,1600928327.75
34.31,1600928328.0
34.31,1600928328.25
34.31,1600928328.5
34.31,1600928328.75
34.31,1600928329.0
34.31,1600928329.25
34.31,1600928329.5
34.31,1600928329.75
34.31,1600928330.0
34.31,1600928330.25
34.31,1600928330.5
34.31,1600928330.75
34.31,1600928331.0
34.29,1600928331.25
34.29,1600928331.5
34.29,1600928331.75
34.29,1600928332.0
34.29,1600928332.25
34.29,1600928332.5
34.29,1600928332.75
34.29,1600928333.0
34.29,1600928333.25
34.29,1600928333.5
34.29,1600928333.75
34.29,1600928334.0
34.31,1600928334.25
34.31,1600928334.5
34.31,1600928334.75
34.31,1600928335.0
34.29,1600928335.25
34.29,1600928335.5
34.29,1600928335.75
34.29,1600928336.0
34.31,1600928336.25
34.31,1600928336.5
34.31,1600928336.75
34.31,1600928337.0
34.29,1600928337.25
34.29,1600928337.5
34.29,1600928337.75
34.29,1600928338.0
34.29,1600928338.25
34.29,1600928338.5
34.29,1600928338.75
34.29,1600928339.0
34.29,1600928339.25
34.29,1600928339.5
34.29,1600928339.75
34.29,1600928340.0
34.29,1600928340.25
34.29,1600928340.5
34.29,1600928340.75
34.29,1600928341.0
34.27,1600928341.25
34.27,1600928341.5
34.27,1600928341.75
34.27,1600928342.0
34.29,1600928342.25
34.29,1600928342.5
34.29,1600928342.75
34.29,1600928343.0
34.29,1600928343.25
34.29,1600928343.5
34.29,1600928343.75
34.29,1600928344.0
34.27,1600928344.25
34.27,1600928344.5
34.27,1600928344.75
34.27,1600928345.0
34.29,1600928345.25
34.29,1600928345.5
34.29,1600928345.75
34.29,1600928346.0
34.29,1600928346.25
34.29,1600928346.5
34.29,1600928346.75
34.29,1600928347.0
34.27,1600928347.25
34.27,1600928347.5
34.27,1600928347.75
34.27,1600928348.0
34.29,1600928348.25
34.29,1600928348.5
34.29,1600928348.75
34.29,1600928349.0
34.27,1600928349.25
34.27,1600928349.5
34.27,1600928349.75
34.27,1600928350.0
34.29,1600928350.25
34.29,1600928350.5
34.29,1600928350.75
34.29,1600928351.0
34.27,1600928351.25
34.27,1600928351.5
34.27,1600928351.75
34.27,1600928352.0
34.27,1600928352.25
34.27,1600928352.5
34.27,1600928352.75
34.27,1600928353.0
34.25,1600928353.25
34.25,1600928353.5
34.25,1600928353.75
34.25,1600928354.0
34.27,1600928354.25
34.27,1600928354.5
34.27,1600928354.75
34.27,1600928355.0
34.25,1600928355.25
34.25,1600928355.5
34.25,1600928355.75
34.25,1600928356.0
34.27,1600928356.25
34.27,1600928356.5
34.27,1600928356.75
34.27,1600928357.0
34.27,1600928357.25
34.27,1600928357.5
34.27,1600928357.75
34.27,1600928358.0
34.25,1600928358.25
34.25,1600928358.5
34.25,1600928358.75
34.25,1600928359.0
34.25,1600928359.25
34.25,1600928359.5
34.25,1600928359.75
34.25,1600928360.0
34.25,1600928360.25
34.25,1600928360.5
34.25,1600928360.75
34.25,1600928361.0
34.23,1600928361.25
34.23,1600928361.5
34.23,1600928361.75
34.23,1600928362.0
34.25,1600928362.25
34.25,1600928362.5
34.25,1600928362.75
34.25,1600928363.0
34.25,1600928363.25
34.25,1600928363.5
34.25,1600928363.75
34.25,1600928364.0
34.23,1600928364.25
34.23,1600928364.5
34.23,1600928364.75
34.23,1600928365.0
34.25,1600928365.25
34.25,1600928365.5
34.25,1600928365.75
34.25,1600928366.0
34.25,1600928366.25
34.25,1600928366.5
34.25,1600928366.75
34.25,1600928367.0
34.23,1600928367.25
34.23,1600928367.5
34.23,1600928367.75
34.23,1600928368.0
34.23,1600928368.25
34.23,1600928368.5
34.23,1600928368.75
34.23,1600928369.0
34.23,1600928369.25
34.23,1600928369.5
34.23,1600928369.75
34.23,1600928370.0
34.23,1600928370.25
34.23,1600928370.5
34.23,1600928370.75
34.23,1600928371.0
34.23,1600928371.25
34.23,1600928371.5
34.23,1600928371.75
34.23,1600928372.0
34.23,1600928372.25
34.23,1600928372.5
34.23,1600928372.75
34.23,1600928373.0
34.21,1600928373.25
34.21,1600928373.5
34.21,1600928373.75
34.21,1600928374.0
34.23,1600928374.25
34.23,1600928374.5
34.23,1600928374.75
34.23,1600928375.0
34.21,1600928375.25
34.21,1600928375.5
34.21,1600928375.75
34.21,1600928376.0
34.23,1600928376.25
34.23,1600928376.5
34.23,1600928376.75
34.23,1600928377.0
34.18,1600928377.25
34.18,1600928377.5
34.18,1600928377.75
34.18,1600928378.0
34.21,1600928378.25
34.21,1600928378.5
34.21,1600928378.75
34.21,1600928379.0
34.21,1600928379.25
34.21,1600928379.5
34.21,1600928379.75
34.21,1600928380.0
34.21,1600928380.25
34.21,1600928380.5
34.21,1600928380.75
34.21,1600928381.0
34.21,1600928381.25
34.21,1600928381.5
34.21,1600928381.75
34.21,1600928382.0
34.18,1600928382.25
34.18,1600928382.5
34.18,1600928382.75
34.18,1600928383.0
34.18,1600928383.25
34.18,1600928383.5
34.18,1600928383.75
34.18,1600928384.0
34.18,1600928384.25
34.18,1600928384.5
34.18,1600928384.75
34.18,1600928385.0
34.18,1600928385.25
34.18,1600928385.5
34.18,1600928385.75
34.18,1600928386.0
34.16,1600928386.25
34.16,1600928386.5
34.16,1600928386.75
34.16,1600928387.0
34.18,1600928387.25
34.18,1600928387.5
34.18,1600928387.75
34.18,1600928388.0
34.16,1600928388.25
34.16,1600928388.5
34.16,1600928388.75
34.16,1600928389.0
34.18,1600928389.25
34.18,1600928389.5
34.18,1600928389.75
34.18,1600928390.0
34.16,1600928390.25
34.16,1600928390.5
34.16,1600928390.75
34.16,1600928391.0
34.16,1600928391.25
34.16,1600928391.5
34.16,1600928391.75
34.16,1600928392.0
34.16,1600928392.25
34.16,1600928392.5
34.16,1600928392.75
34.16,1600928393.0
34.15,1600928393.25
34.15,1600928393.5
34.15,1600928393.75
34.15,1600928394.0
34.15,1600928394.25
34.15,1600928394.5
34.15,1600928394.75
34.15,1600928395.0
34.15,1600928395.25
34.15,1600928395.5
34.15,1600928395.75
34.15,1600928396.0
34.16,1600928396.25
34.16,1600928396.5
34.16,1600928396.75
34.16,1600928397.0
34.15,1600928397.25
34.15,1600928397.5
34.15,1600928397.75
34.15,1600928398.0
34.15,1600928398.25
34.15,1600928398.5
34.15,1600928398.75
34.15,1600928399.0
34.15,1600928399.25
34.15,1600928399.5
34.15,1600928399.75
34.15,1600928400.0
34.15,1600928400.25
34.15,1600928400.5
34.15,1600928400.75
34.15,1600928401.0
34.15,1600928401.25
34.15,1600928401.5
34.15,1600928401.75
34.15,1600928402.0
34.13,1600928402.25
34.13,1600928402.5
34.13,1600928402.75
34.13,1600928403.0
34.15,1600928403.25
34.15,1600928403.5
34.15,1600928403.75
34.15,1600928404.0
34.13,1600928404.25
34.13,1600928404.5
34.13,1600928404.75
34.13,1600928405.0
34.15,1600928405.25
34.15,1600928405.5
34.15,1600928405.75
34.15,1600928406.0
34.13,1600928406.25
34.13,1600928406.5
34.13,1600928406.75
34.13,1600928407.0
34.13,1600928407.25
34.13,1600928407.5
34.13,1600928407.75
34.13,1600928408.0
34.13,1600928408.25
34.13,1600928408.5
34.13,1600928408.75
34.13,1600928409.0
34.11,1600928409.25
34.11,1600928409.5
34.11,1600928409.75
34.11,1600928410.0
34.13,1600928410.25
34.13,1600928410.5
34.13,1600928410.75
34.13,1600928411.0
34.13,1600928411.25
34.13,1600928411.5
34.13,1600928411.75
34.13,1600928412.0
34.11,1600928412.25
34.11,1600928412.5
34.11,1600928412.75
34.11,1600928413.0
34.11,1600928413.25
34.11,1600928413.5
34.11,1600928413.75
34.11,1600928414.0
34.11,1600928414.25
34.11,1600928414.5
34.11,1600928414.75
34.11,1600928415.0
34.11,1600928415.25
34.11,1600928415.5
34.11,1600928415.75
34.11,1600928416.0
34.09,1600928416.25
34.09,1600928416.5
34.09,1600928416.75
34.09,1600928417.0
34.11,1600928417.25
34.11,1600928417.5
34.11,1600928417.75
34.11,1600928418.0
34.09,1600928418.25
34.09,1600928418.5
34.09,1600928418.75
34.09,1600928419.0
34.11,1600928419.25
34.11,1600928419.5
34.11,1600928419.75
34.11,1600928420.0
34.11,1600928420.25
34.11,1600928420.5
34.11,1600928420.75
34.11,1600928421.0
34.11,1600928421.25
34.11,1600928421.5
34.11,1600928421.75
34.11,1600928422.0
34.09,1600928422.25
34.09,1600928422.5
34.09,1600928422.75
34.09,1600928423.0
34.11,1600928423.25
34.11,1600928423.5
34.11,1600928423.75
34.11,1600928424.0
34.09,1600928424.25
34.09,1600928424.5
34.09,1600928424.75
34.09,1600928425.0
34.09,1600928425.25
34.09,1600928425.5
34.09,1600928425.75
34.09,1600928426.0
34.07,1600928426.25
34.07,1600928426.5
34.07,1600928426.75
34.07,1600928427.0
34.09,1600928427.25
34.09,1600928427.5
34.09,1600928427.75
34.09,1600928428.0
34.09,1600928428.25
34.09,1600928428.5
34.09,1600928428.75
34.09,1600928429.0
34.09,1600928429.25
34.09,1600928429.5
34.09,1600928429.75
34.09,1600928430.0
34.09,1600928430.25
34.09,1600928430.5
34.09,1600928430.75
34.09,1600928431.0
34.07,1600928431.25
34.07,1600928431.5
34.07,1600928431.75
34.07,1600928432.0
34.09,1600928432.25
34.09,1600928432.5
34.09,1600928432.75
34.09,1600928433.0
34.07,1600928433.25
34.07,1600928433.5
34.07,1600928433.75
34.07,1600928434.0
34.05,1600928434.25
34.05,1600928434.5
34.05,1600928434.75
34.05,1600928435.0
34.05,1600928435.25
34.05,1600928435.5
34.05,1600928435.75
34.05,1600928436.0
34.07,1600928436.25
34.07,1600928436.5
34.07,1600928436.75
34.07,1600928437.0
34.05,1600928437.25
34.05,1600928437.5
34.05,1600928437.75
34.05,1600928438.0
34.05,1600928438.25
34.05,1600928438.5
34.05,1600928438.75
34.05,1600928439.0
34.09,1600928439.25
34.09,1600928439.5
34.09,1600928439.75
34.09,1600928440.0
34.07,1600928440.25
34.07,1600928440.5
34.07,1600928440.75
34.07,1600928441.0
34.07,1600928441.25
34.07,1600928441.5
34.07,1600928441.75
34.07,1600928442.0
34.07,1600928442.25
34.07,1600928442.5
34.07,1600928442.75
34.07,1600928443.0
34.05,1600928443.25
34.05,1600928443.5
34.05,1600928443.75
34.05,1600928444.0
34.03,1600928444.25
34.03,1600928444.5
34.03,1600928444.75
34.03,1600928445.0
34.05,1600928445.25
34.05,1600928445.5
34.05,1600928445.75
34.05,1600928446.0
34.05,1600928446.25
34.05,1600928446.5
34.05,1600928446.75
34.05,1600928447.0
34.05,1600928447.25
34.05,1600928447.5
34.05,1600928447.75
34.05,1600928448.0
34.05,1600928448.25
34.05,1600928448.5
34.05,1600928448.75
34.05,1600928449.0
34.05,1600928449.25
34.05,1600928449.5
34.05,1600928449.75
34.05,1600928450.0
34.05,1600928450.25
34.05,1600928450.5
34.05,1600928450.75
34.05,1600928451.0
34.03,1600928451.25
34.03,1600928451.5
34.03,1600928451.75
34.03,1600928452.0
34.03,1600928452.25
34.03,1600928452.5
34.03,1600928452.75
34.03,1600928453.0
34.03,1600928453.25
34.03,1600928453.5
34.03,1600928453.75
34.03,1600928454.0
34.03,1600928454.25
34.03,1600928454.5
34.03,1600928454.75
34.03,1600928455.0
34.03,1600928455.25
34.03,1600928455.5
34.03,1600928455.75
34.03,1600928456.0
34.03,1600928456.25
34.03,1600928456.5
34.03,1600928456.75
34.03,1600928457.0
34.0,1600928457.25
34.0,1600928457.5
34.0,1600928457.75
34.0,1600928458.0
34.0,1600928458.25
34.0,1600928458.5
34.0,1600928458.75
34.0,1600928459.0
34.0,1600928459.25
34.0,1600928459.5
34.0,1600928459.75
34.0,1600928460.0
34.03,1600928460.25
34.03,1600928460.5
34.03,1600928460.75
34.03,1600928461.0
34.0,1600928461.25
34.0,1600928461.5
34.0,1600928461.75
34.0,1600928462.0
34.0,1600928462.25
34.0,1600928462.5
34.0,1600928462.75
34.0,1600928463.0
34.0,1600928463.25
34.0,1600928463.5
34.0,1600928463.75
34.0,1600928464.0
34.03,1600928464.25
34.03,1600928464.5
34.03,1600928464.75
34.03,1600928465.0
34.0,1600928465.25
34.0,1600928465.5
34.0,1600928465.75
34.0,1600928466.0
34.0,1600928466.25
34.0,1600928466.5
34.0,1600928466.75
34.0,1600928467.0
33.99,1600928467.25
33.99,1600928467.5
33.99,1600928467.75
33.99,1600928468.0
33.97,1600928468.25
33.97,1600928468.5
33.97,1600928468.75
33.97,1600928469.0
34.0,1600928469.25
34.0,1600928469.5
34.0,1600928469.75
34.0,1600928470.0
33.99,1600928470.25
33.99,1600928470.5
33.99,1600928470.75
33.99,1600928471.0
33.99,1600928471.25
33.99,1600928471.5
33.99,1600928471.75
33.99,1600928472.0
33.99,1600928472.25
33.99,1600928472.5
33.99,1600928472.75
