eda,time
0.556197,1611470310.25
0.534421,1611470310.5
0.661235,1611470310.75
0.639459,1611470311.0
0.638178,1611470311.25
0.639459,1611470311.5
0.639459,1611470311.75
0.64202,1611470312.0
0.638178,1611470312.25
0.635616,1611470312.5
0.639459,1611470312.75
0.636897,1611470313.0
0.635616,1611470313.25
0.639459,1611470313.5
0.634335,1611470313.75
0.639459,1611470314.0
0.64202,1611470314.25
0.645863,1611470314.5
0.643301,1611470314.75
0.649706,1611470315.0
0.644582,1611470315.25
0.643301,1611470315.5
0.640739,1611470315.75
0.640739,1611470316.0
0.643301,1611470316.25
0.639459,1611470316.5
0.639459,1611470316.75
0.636897,1611470317.0
0.633054,1611470317.25
0.633054,1611470317.5
0.634335,1611470317.75
0.630492,1611470318.0
0.635616,1611470318.25
0.631773,1611470318.5
0.633054,1611470318.75
0.633054,1611470319.0
0.62793,1611470319.25
0.625368,1611470319.5
0.625368,1611470319.75
0.625368,1611470320.0
0.622806,1611470320.25
0.624087,1611470320.5
0.621525,1611470320.75
0.618963,1611470321.0
0.615121,1611470321.25
0.616401,1611470321.5
0.61384,1611470321.75
0.61384,1611470322.0
0.609997,1611470322.25
0.606154,1611470322.5
0.604873,1611470322.75
0.602311,1611470323.0
0.60103,1611470323.25
0.597187,1611470323.5
0.597187,1611470323.75
0.599749,1611470324.0
0.60103,1611470324.25
0.597187,1611470324.5
0.597187,1611470324.75
0.599749,1611470325.0
0.60103,1611470325.25
0.599749,1611470325.5
0.612559,1611470325.75
0.616401,1611470326.0
0.612559,1611470326.25
0.616401,1611470326.5
0.61384,1611470326.75
0.625368,1611470327.0
0.62793,1611470327.25
0.631773,1611470327.5
0.630492,1611470327.75
0.630492,1611470328.0
0.629211,1611470328.25
0.629211,1611470328.5
0.631773,1611470328.75
0.626649,1611470329.0
0.625368,1611470329.25
0.624087,1611470329.5
0.62793,1611470329.75
0.633054,1611470330.0
0.639459,1611470330.25
0.64202,1611470330.5
0.64202,1611470330.75
0.64202,1611470331.0
0.64202,1611470331.25
0.638178,1611470331.5
0.635616,1611470331.75
0.631773,1611470332.0
0.629211,1611470332.25
0.62793,1611470332.5
0.621525,1611470332.75
0.621525,1611470333.0
0.616401,1611470333.25
0.618963,1611470333.5
0.620244,1611470333.75
0.616401,1611470334.0
0.617682,1611470334.25
0.616401,1611470334.5
0.616401,1611470334.75
0.615121,1611470335.0
0.609997,1611470335.25
0.608716,1611470335.5
0.608716,1611470335.75
0.607435,1611470336.0
0.598468,1611470336.25
0.597187,1611470336.5
0.599749,1611470336.75
0.599749,1611470337.0
0.60103,1611470337.25
0.599749,1611470337.5
0.599749,1611470337.75
0.606154,1611470338.0
0.599749,1611470338.25
0.60103,1611470338.5
0.585659,1611470338.75
0.602311,1611470339.0
0.594625,1611470339.25
0.593345,1611470339.5
0.594625,1611470339.75
0.592064,1611470340.0
0.589502,1611470340.25
0.589502,1611470340.5
0.58694,1611470340.75
0.590783,1611470341.0
0.593345,1611470341.25
0.590783,1611470341.5
0.590783,1611470341.75
0.592064,1611470342.0
0.594625,1611470342.25
0.593345,1611470342.5
0.592064,1611470342.75
0.594625,1611470343.0
0.594625,1611470343.25
0.592064,1611470343.5
0.594625,1611470343.75
0.595906,1611470344.0
0.598468,1611470344.25
0.597187,1611470344.5
0.594625,1611470344.75
0.594625,1611470345.0
0.593345,1611470345.25
0.589502,1611470345.5
0.592064,1611470345.75
0.589502,1611470346.0
0.588221,1611470346.25
0.58694,1611470346.5
0.584378,1611470346.75
0.583097,1611470347.0
0.579254,1611470347.25
0.576692,1611470347.5
0.577973,1611470347.75
0.581816,1611470348.0
0.580535,1611470348.25
0.583097,1611470348.5
0.588221,1611470348.75
0.590783,1611470349.0
0.588221,1611470349.25
0.588221,1611470349.5
0.588221,1611470349.75
0.585659,1611470350.0
0.584378,1611470350.25
0.577973,1611470350.5
0.571568,1611470350.75
0.569007,1611470351.0
0.571568,1611470351.25
0.570287,1611470351.5
0.579254,1611470351.75
0.576692,1611470352.0
0.575411,1611470352.25
0.571568,1611470352.5
0.572849,1611470352.75
0.567726,1611470353.0
0.569007,1611470353.25
0.566445,1611470353.5
0.562602,1611470353.75
0.562602,1611470354.0
0.56004,1611470354.25
0.558759,1611470354.5
0.556197,1611470354.75
0.56004,1611470355.0
0.562602,1611470355.25
0.561321,1611470355.5
0.565164,1611470355.75
0.569007,1611470356.0
0.567726,1611470356.25
0.569007,1611470356.5
0.570287,1611470356.75
0.566445,1611470357.0
0.563883,1611470357.25
0.561321,1611470357.5
0.558759,1611470357.75
0.562602,1611470358.0
0.553635,1611470358.25
0.553635,1611470358.5
0.554916,1611470358.75
0.551073,1611470359.0
0.548511,1611470359.25
0.54595,1611470359.5
0.56004,1611470359.75
0.557478,1611470360.0
0.554916,1611470360.25
0.554916,1611470360.5
0.552354,1611470360.75
0.553635,1611470361.0
0.551073,1611470361.25
0.551073,1611470361.5
0.543388,1611470361.75
0.54595,1611470362.0
0.548511,1611470362.25
0.54595,1611470362.5
0.54723,1611470362.75
0.552354,1611470363.0
0.548511,1611470363.25
0.549792,1611470363.5
0.548511,1611470363.75
0.551073,1611470364.0
0.54595,1611470364.25
0.548511,1611470364.5
0.544669,1611470364.75
0.543388,1611470365.0
0.543388,1611470365.25
0.543388,1611470365.5
0.542107,1611470365.75
0.542107,1611470366.0
0.538264,1611470366.25
0.535702,1611470366.5
0.536983,1611470366.75
0.53314,1611470367.0
0.531859,1611470367.25
0.531859,1611470367.5
0.530578,1611470367.75
0.530578,1611470368.0
0.53314,1611470368.25
0.53314,1611470368.5
0.53314,1611470368.75
0.53314,1611470369.0
0.53314,1611470369.25
0.531859,1611470369.5
0.526735,1611470369.75
0.53314,1611470370.0
0.535702,1611470370.25
0.530578,1611470370.5
0.529297,1611470370.75
0.529297,1611470371.0
0.528016,1611470371.25
0.530578,1611470371.5
0.530578,1611470371.75
0.531859,1611470372.0
0.530578,1611470372.25
0.528016,1611470372.5
0.526735,1611470372.75
0.524173,1611470373.0
0.524173,1611470373.25
0.53314,1611470373.5
0.528016,1611470373.75
0.528016,1611470374.0
0.529297,1611470374.25
0.522892,1611470374.5
0.525454,1611470374.75
0.522892,1611470375.0
0.522892,1611470375.25
0.522892,1611470375.5
0.51905,1611470375.75
0.520331,1611470376.0
0.513926,1611470376.25
0.515207,1611470376.5
0.516488,1611470376.75
0.512645,1611470377.0
0.516488,1611470377.25
0.510083,1611470377.5
0.50624,1611470377.75
0.511364,1611470378.0
0.508802,1611470378.25
0.504959,1611470378.5
0.512645,1611470378.75
0.507521,1611470379.0
0.510083,1611470379.25
0.50624,1611470379.5
0.507521,1611470379.75
0.503678,1611470380.0
0.504959,1611470380.25
0.50624,1611470380.5
0.502397,1611470380.75
0.504959,1611470381.0
0.510083,1611470381.25
0.510083,1611470381.5
0.501116,1611470381.75
0.501116,1611470382.0
0.502397,1611470382.25
0.498555,1611470382.5
0.495993,1611470382.75
0.498555,1611470383.0
0.493431,1611470383.25
0.493431,1611470383.5
0.488307,1611470383.75
0.501116,1611470384.0
0.507521,1611470384.25
0.51905,1611470384.5
0.524173,1611470384.75
0.530578,1611470385.0
0.531859,1611470385.25
0.531859,1611470385.5
0.528016,1611470385.75
0.526735,1611470386.0
0.525454,1611470386.25
0.521612,1611470386.5
0.516488,1611470386.75
0.511364,1611470387.0
0.512645,1611470387.25
0.508802,1611470387.5
0.50624,1611470387.75
0.507521,1611470388.0
0.503678,1611470388.25
0.504959,1611470388.5
0.508802,1611470388.75
0.510083,1611470389.0
0.508802,1611470389.25
0.516488,1611470389.5
0.51905,1611470389.75
0.534421,1611470390.0
0.525454,1611470390.25
0.522892,1611470390.5
0.524173,1611470390.75
0.513926,1611470391.0
0.515207,1611470391.25
0.511364,1611470391.5
0.507521,1611470391.75
0.504959,1611470392.0
0.504959,1611470392.25
0.502397,1611470392.5
0.497274,1611470392.75
0.501116,1611470393.0
0.502397,1611470393.25
0.502397,1611470393.5
0.503678,1611470393.75
0.501116,1611470394.0
0.498555,1611470394.25
0.499835,1611470394.5
0.497274,1611470394.75
0.495993,1611470395.0
0.495993,1611470395.25
0.494712,1611470395.5
0.49215,1611470395.75
0.490869,1611470396.0
0.493431,1611470396.25
0.489588,1611470396.5
0.488307,1611470396.75
0.488307,1611470397.0
0.485745,1611470397.25
