PPG GREEN,time
1964099.0,1611470310.278
1962963.0,1611470310.319
1962577.0,1611470310.358
1962576.0,1611470310.398
1962638.0,1611470310.44
1962702.0,1611470310.478
1963597.0,1611470310.518
1963875.0,1611470310.559
1964426.0,1611470310.598
1964771.0,1611470310.639
1966450.0,1611470310.679
1968841.0,1611470310.718
1971203.0,1611470310.759
1973142.0,1611470310.8
1975045.0,1611470310.839
1976348.0,1611470310.879
1976897.0,1611470310.92
1978486.0,1611470310.959
1979296.0,1611470310.999
1980255.0,1611470311.041
1981718.0,1611470311.079
1982969.0,1611470311.119
1984421.0,1611470311.16
1986071.0,1611470311.199
1987992.0,1611470311.24
1991357.0,1611470311.28
1994766.0,1611470311.319
2000914.0,1611470311.359
2009116.0,1611470311.4
2016351.0,1611470311.44
2025783.0,1611470311.48
2035209.0,1611470311.521
2045009.0,1611470311.56
2052996.0,1611470311.6
2059463.0,1611470311.642
2062859.0,1611470311.68
2064119.0,1611470311.72
2066061.0,1611470311.761
2067565.0,1611470311.8
2069844.0,1611470311.842
2071523.0,1611470311.881
2072911.0,1611470311.92
2076606.0,1611470311.96
2079561.0,1611470312.001
2081427.0,1611470312.041
2083386.0,1611470312.081
2085281.0,1611470312.122
2087609.0,1611470312.161
2089821.0,1611470312.201
2092404.0,1611470312.243
2095377.0,1611470312.281
2099098.0,1611470312.321
2101593.0,1611470312.362
2104281.0,1611470312.401
2106155.0,1611470312.442
2108433.0,1611470312.482
2110570.0,1611470312.521
2113123.0,1611470312.561
2114846.0,1611470312.602
2116308.0,1611470312.642
2117876.0,1611470312.681
2119678.0,1611470312.723
2120366.0,1611470312.762
2122411.0,1611470312.801
2124346.0,1611470312.84
2126135.0,1611470312.879
2128221.0,1611470312.918
2130476.0,1611470312.957
2132564.0,1611470312.996
2135733.0,1611470313.035
2138717.0,1611470313.074
2141783.0,1611470313.113
2144953.0,1611470313.152
2147362.0,1611470313.191
2149465.0,1611470313.23
2150397.0,1611470313.269
2152128.0,1611470313.308
2153887.0,1611470313.347
2156090.0,1611470313.386
2158007.0,1611470313.425
2160001.0,1611470313.464
2161858.0,1611470313.504
2164194.0,1611470313.544
2165818.0,1611470313.584
2167807.0,1611470313.624
2169453.0,1611470313.664
2171512.0,1611470313.704
2174050.0,1611470313.744
2175216.0,1611470313.784
2175434.0,1611470313.824
2176377.0,1611470313.864
2177280.0,1611470313.904
2178344.0,1611470313.944
2179812.0,1611470313.984
2181192.0,1611470314.024
2182794.0,1611470314.064
2184561.0,1611470314.104
2186642.0,1611470314.144
2189215.0,1611470314.184
2193475.0,1611470314.224
2197047.0,1611470314.264
2200491.0,1611470314.304
2202666.0,1611470314.344
2203685.0,1611470314.384
2205179.0,1611470314.424
2207465.0,1611470314.464
2209501.0,1611470314.504
2211696.0,1611470314.544
2213643.0,1611470314.584
2215287.0,1611470314.624
2217070.0,1611470314.664
2219802.0,1611470314.704
2221632.0,1611470314.744
2223513.0,1611470314.784
2225357.0,1611470314.824
2227854.0,1611470314.864
2229572.0,1611470314.904
2231045.0,1611470314.944
2232259.0,1611470314.984
2232668.0,1611470315.024
2232720.0,1611470315.064
2233472.0,1611470315.104
2233643.0,1611470315.144
2234464.0,1611470315.184
2235467.0,1611470315.224
2236218.0,1611470315.264
2236828.0,1611470315.304
2236787.0,1611470315.344
2239260.0,1611470315.384
2242462.0,1611470315.424
2244389.0,1611470315.464
2245010.0,1611470315.504
2245107.0,1611470315.544
2243195.0,1611470315.584
2241997.0,1611470315.624
2240692.0,1611470315.664
2241033.0,1611470315.704
2241370.0,1611470315.744
2241891.0,1611470315.784
2242350.0,1611470315.824
2241018.0,1611470315.864
2236313.0,1611470315.904
2234822.0,1611470315.944
2235820.0,1611470315.984
2237207.0,1611470316.024
2237303.0,1611470316.064
2235746.0,1611470316.104
2233925.0,1611470316.144
2233334.0,1611470316.184
2238002.0,1611470316.224
2237409.0,1611470316.264
2237682.0,1611470316.304
2240329.0,1611470316.344
2244270.0,1611470316.384
2248527.0,1611470316.424
2251790.0,1611470316.464
2254225.0,1611470316.504
2256496.0,1611470316.544
2259079.0,1611470316.584
2260985.0,1611470316.624
2263228.0,1611470316.664
2264540.0,1611470316.704
2264549.0,1611470316.744
2264444.0,1611470316.784
2264173.0,1611470316.824
2264622.0,1611470316.864
2264617.0,1611470316.904
2265484.0,1611470316.944
2267258.0,1611470316.984
2269389.0,1611470317.024
2271189.0,1611470317.064
2272790.0,1611470317.104
2274693.0,1611470317.144
2276617.0,1611470317.184
2278570.0,1611470317.224
2279969.0,1611470317.264
2280479.0,1611470317.304
2280769.0,1611470317.344
2281317.0,1611470317.384
2282651.0,1611470317.464
2281689.0,1611470317.424
2285677.0,1611470317.544
2284350.0,1611470317.504
2286924.0,1611470317.584
2288031.0,1611470317.624
2289548.0,1611470317.664
2290667.0,1611470317.704
2293599.0,1611470317.784
2292135.0,1611470317.744
2293624.0,1611470317.864
