text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,blue,0,11,1,3,2000
yellow,red,0,4,1,1,1793
blue,red,0,16,1,1,1003
green,red,0,12,1,1,1153
red,green,0,6,2,1,1407
red,green,0,6,2,1,1265
blue,yellow,0,13,4,1,1523
red,green,0,6,2,1,1861
red,blue,0,7,1,3,2000
blue,red,0,16,1,1,1798
blue,yellow,0,13,4,1,1403
green,red,0,12,1,1,1063
green,red,0,12,1,1,974
red,yellow,0,5,4,1,720
red,red,1,8,1,1,1609
blue,yellow,0,13,4,1,1816
red,blue,0,7,1,3,2000
green,green,1,10,2,1,1286
yellow,blue,0,3,3,1,790
yellow,red,0,4,1,1,1684
blue,green,0,14,2,1,1331
yellow,green,0,2,2,1,910
red,yellow,0,5,4,1,1082
green,blue,0,11,1,3,2000
red,green,0,6,2,1,1132
yellow,yellow,1,1,4,1,1442
red,blue,0,7,3,1,1354
green,yellow,0,9,4,1,1179
blue,red,0,16,1,1,1196
green,yellow,0,9,4,1,967
green,red,0,12,3,2,1374
green,yellow,0,9,4,1,979
blue,yellow,0,13,4,1,1232
yellow,yellow,1,1,4,1,823
blue,red,0,16,1,1,1347
green,green,1,10,2,1,1475
red,green,0,6,2,1,1280
blue,green,0,14,2,1,994
green,red,0,12,1,1,1040
green,blue,0,11,3,1,1265
red,red,1,8,1,1,1063
green,green,1,10,2,1,1258
yellow,yellow,1,1,4,1,1405
green,yellow,0,9,4,1,1354
yellow,red,0,4,1,1,1412
yellow,yellow,1,1,4,1,829
green,red,0,12,1,1,1350
red,green,0,6,2,1,1249
blue,yellow,0,13,1,3,2000
red,yellow,0,5,4,1,1033
green,blue,0,11,3,1,1345
red,green,0,6,1,3,2000
yellow,blue,0,3,3,1,1317
green,yellow,0,9,4,1,1088
red,blue,0,7,3,1,1157
green,yellow,0,9,4,1,840
blue,green,0,14,2,1,1418
blue,yellow,0,13,4,1,1055
red,blue,0,7,3,1,1074
yellow,red,0,4,1,1,1598
blue,red,0,16,1,1,1151
yellow,blue,0,3,3,1,1865
red,green,0,6,2,1,1193
blue,blue,1,15,3,1,735
green,yellow,0,9,4,1,1054
yellow,red,0,4,1,1,1738
yellow,green,0,2,2,1,1022
blue,green,0,14,2,1,611
green,green,1,10,2,1,460
yellow,yellow,1,1,4,1,990
blue,green,0,14,2,1,739
green,red,0,12,1,1,1405
red,red,1,8,1,1,898
blue,yellow,0,13,4,1,1449
green,blue,0,11,3,1,1265
green,green,1,10,2,1,1388
green,green,1,10,2,1,634
green,blue,0,11,3,1,738
yellow,red,0,4,4,2,1125
red,red,1,8,1,1,961
yellow,blue,0,3,3,1,1718
green,blue,0,11,3,1,633
red,blue,0,7,3,1,620
blue,blue,1,15,3,1,430
yellow,blue,0,3,3,1,407
yellow,yellow,1,1,4,1,963
blue,green,0,14,2,1,1513
blue,blue,1,15,3,1,892
yellow,green,0,2,2,1,1932
green,blue,0,11,3,1,911
blue,blue,1,15,3,1,507
yellow,green,0,2,4,2,1727
green,red,0,12,1,1,1297
blue,green,0,14,2,1,1216
blue,blue,1,15,3,1,1706
red,red,1,8,1,1,1353
red,yellow,0,5,4,1,1127
yellow,blue,0,3,3,1,1712
blue,red,0,16,1,1,1644
yellow,blue,0,3,3,1,1338
red,blue,0,7,3,1,1291
yellow,green,0,2,2,1,1230
red,yellow,0,5,4,1,1018
red,yellow,0,5,4,1,474
blue,blue,1,15,3,1,977
red,yellow,0,5,4,1,1955
yellow,red,0,4,3,2,1773
blue,blue,1,15,3,1,977
red,red,1,8,1,1,1553
green,yellow,0,9,4,1,777
yellow,green,0,2,2,1,906
red,yellow,0,5,4,1,998
green,green,1,10,2,1,1282
blue,green,0,14,2,1,866
yellow,yellow,1,1,4,1,1305
green,green,1,10,2,1,905
yellow,red,0,4,1,1,932
yellow,blue,0,3,3,1,1224
yellow,yellow,1,1,4,1,1265
yellow,green,0,2,2,1,1440
