temp,time
32.39,1660301143.25
32.39,1660301143.5
32.39,1660301143.75
32.39,1660301144.0
32.41,1660301144.25
32.41,1660301144.5
32.41,1660301144.75
32.41,1660301145.0
32.31,1660301145.25
32.31,1660301145.5
32.31,1660301145.75
32.31,1660301146.0
32.33,1660301146.25
32.33,1660301146.5
32.33,1660301146.75
32.33,1660301147.0
32.33,1660301147.25
32.33,1660301147.5
32.33,1660301147.75
32.33,1660301148.0
32.33,1660301148.25
32.33,1660301148.5
32.33,1660301148.75
32.33,1660301149.0
32.34,1660301149.25
32.34,1660301149.5
32.34,1660301149.75
32.34,1660301150.0
32.34,1660301150.25
32.34,1660301150.5
32.34,1660301150.75
32.34,1660301151.0
32.34,1660301151.25
32.34,1660301151.5
32.34,1660301151.75
32.34,1660301152.0
32.34,1660301152.25
32.34,1660301152.5
32.34,1660301152.75
32.34,1660301153.0
32.34,1660301153.25
32.34,1660301153.5
32.34,1660301153.75
32.34,1660301154.0
32.37,1660301154.25
32.37,1660301154.5
32.37,1660301154.75
32.37,1660301155.0
32.34,1660301155.25
32.34,1660301155.5
32.34,1660301155.75
32.34,1660301156.0
32.33,1660301156.25
32.33,1660301156.5
32.33,1660301156.75
32.33,1660301157.0
32.31,1660301157.25
32.31,1660301157.5
32.31,1660301157.75
32.31,1660301158.0
32.37,1660301158.25
32.37,1660301158.5
32.37,1660301158.75
32.37,1660301159.0
32.33,1660301159.25
32.33,1660301159.5
32.33,1660301159.75
32.33,1660301160.0
32.33,1660301160.25
32.33,1660301160.5
32.33,1660301160.75
32.33,1660301161.0
32.33,1660301161.25
32.33,1660301161.5
32.33,1660301161.75
32.33,1660301162.0
32.31,1660301162.25
32.31,1660301162.5
32.31,1660301162.75
32.31,1660301163.0
32.29,1660301163.25
32.29,1660301163.5
32.29,1660301163.75
32.29,1660301164.0
32.31,1660301164.25
32.31,1660301164.5
32.31,1660301164.75
32.31,1660301165.0
32.31,1660301165.25
32.31,1660301165.5
32.31,1660301165.75
32.31,1660301166.0
32.31,1660301166.25
32.31,1660301166.5
32.31,1660301166.75
