eda,time
0.117854,1760267461.0
0.124259,1760267461.25
0.126821,1760267461.5
0.119135,1760267461.75
0.133226,1760267462.0
0.122978,1760267462.25
0.116573,1760267462.5
0.117854,1760267462.75
0.119135,1760267463.0
0.119135,1760267463.25
0.119135,1760267463.5
0.116573,1760267463.75
0.115292,1760267464.0
0.119135,1760267464.25
0.119135,1760267464.5
0.119135,1760267464.75
0.117854,1760267465.0
0.117854,1760267465.25
0.121697,1760267465.5
0.120416,1760267465.75
0.117854,1760267466.0
0.116573,1760267466.25
0.116573,1760267466.5
0.120416,1760267466.75
0.120416,1760267467.0
0.119135,1760267467.25
0.117854,1760267467.5
0.121697,1760267467.75
0.121697,1760267468.0
0.121697,1760267468.25
0.117854,1760267468.5
0.117854,1760267468.75
0.122978,1760267469.0
0.122978,1760267469.25
0.121697,1760267469.5
0.119135,1760267469.75
0.120416,1760267470.0
0.122978,1760267470.25
0.121697,1760267470.5
0.121697,1760267470.75
0.119135,1760267471.0
0.120416,1760267471.25
0.122978,1760267471.5
0.121697,1760267471.75
0.122978,1760267472.0
0.119135,1760267472.25
0.119135,1760267472.5
0.122978,1760267472.75
0.122978,1760267473.0
0.122978,1760267473.25
0.120416,1760267473.5
0.119135,1760267473.75
0.122978,1760267474.0
0.122978,1760267474.25
0.122978,1760267474.5
0.121697,1760267474.75
0.120416,1760267475.0
0.124259,1760267475.25
0.122978,1760267475.5
0.122978,1760267475.75
0.121697,1760267476.0
0.120416,1760267476.25
0.122978,1760267476.5
0.122978,1760267476.75
0.121697,1760267477.0
0.121697,1760267477.25
0.120416,1760267477.5
0.122978,1760267477.75
0.12554,1760267478.0
0.121697,1760267478.25
0.121697,1760267478.5
0.12554,1760267478.75
0.12554,1760267479.0
0.124259,1760267479.25
0.122978,1760267479.5
0.121697,1760267479.75
0.124259,1760267480.0
0.124259,1760267480.25
0.124259,1760267480.5
0.121697,1760267480.75
0.121697,1760267481.0
0.124259,1760267481.25
0.12554,1760267481.5
0.12554,1760267481.75
0.122978,1760267482.0
0.122978,1760267482.25
0.126821,1760267482.5
0.12554,1760267482.75
0.122978,1760267483.0
0.122978,1760267483.25
0.124259,1760267483.5
0.12554,1760267483.75
0.12554,1760267484.0
0.124259,1760267484.25
0.122978,1760267484.5
0.126821,1760267484.75
0.128102,1760267485.0
0.12554,1760267485.25
0.124259,1760267485.5
0.122978,1760267485.75
0.126821,1760267486.0
0.128102,1760267486.25
0.124259,1760267486.5
0.12554,1760267486.75
0.128102,1760267487.0
0.12554,1760267487.25
0.126821,1760267487.5
0.12554,1760267487.75
0.124259,1760267488.0
0.126821,1760267488.25
0.128102,1760267488.5
0.12554,1760267488.75
0.124259,1760267489.0
0.12554,1760267489.25
0.128102,1760267489.5
0.128102,1760267489.75
0.128102,1760267490.0
0.126821,1760267490.25
0.12554,1760267490.5
0.128102,1760267490.75
0.128102,1760267491.0
0.126821,1760267491.25
0.12554,1760267491.5
0.128102,1760267491.75
0.129383,1760267492.0
0.129383,1760267492.25
0.126821,1760267492.5
0.12554,1760267492.75
0.129383,1760267493.0
0.129383,1760267493.25
0.128102,1760267493.5
0.126821,1760267493.75
0.126821,1760267494.0
0.129383,1760267494.25
0.130664,1760267494.5
0.129383,1760267494.75
0.128102,1760267495.0
0.129383,1760267495.25
0.130664,1760267495.5
0.130664,1760267495.75
0.129383,1760267496.0
0.128102,1760267496.25
0.126821,1760267496.5
0.130664,1760267496.75
0.131945,1760267497.0
0.130664,1760267497.25
0.129383,1760267497.5
0.128102,1760267497.75
0.130664,1760267498.0
0.131945,1760267498.25
0.129383,1760267498.5
0.128102,1760267498.75
0.130664,1760267499.0
0.131945,1760267499.25
0.130664,1760267499.5
0.129383,1760267499.75
0.129383,1760267500.0
0.131945,1760267500.25
0.131945,1760267500.5
0.131945,1760267500.75
0.130664,1760267501.0
0.129383,1760267501.25
0.131945,1760267501.5
0.134507,1760267501.75
0.133226,1760267502.0
0.130664,1760267502.25
0.129383,1760267502.5
0.131945,1760267502.75
0.133226,1760267503.0
0.147318,1760267503.25
0.130664,1760267503.5
0.130664,1760267503.75
0.133226,1760267504.0
0.134507,1760267504.25
0.134507,1760267504.5
0.131945,1760267504.75
0.130664,1760267505.0
0.133226,1760267505.25
0.133226,1760267505.5
0.133226,1760267505.75
0.131945,1760267506.0
0.130664,1760267506.25
0.133226,1760267506.5
0.134507,1760267506.75
0.133226,1760267507.0
0.130664,1760267507.25
0.130664,1760267507.5
0.133226,1760267507.75
0.134507,1760267508.0
0.133226,1760267508.25
0.130664,1760267508.5
0.130664,1760267508.75
0.133226,1760267509.0
0.133226,1760267509.25
0.135788,1760267509.5
0.131945,1760267509.75
0.130664,1760267510.0
0.134507,1760267510.25
0.135788,1760267510.5
0.133226,1760267510.75
0.131945,1760267511.0
0.131945,1760267511.25
0.134507,1760267511.5
0.134507,1760267511.75
0.134507,1760267512.0
0.133226,1760267512.25
0.131945,1760267512.5
0.135788,1760267512.75
0.134507,1760267513.0
0.134507,1760267513.25
0.133226,1760267513.5
0.133226,1760267513.75
0.135788,1760267514.0
0.137069,1760267514.25
0.135788,1760267514.5
0.133226,1760267514.75
0.134507,1760267515.0
0.134507,1760267515.25
0.137069,1760267515.5
0.137069,1760267515.75
0.134507,1760267516.0
0.134507,1760267516.25
0.133226,1760267516.5
0.137069,1760267516.75
0.135788,1760267517.0
0.134507,1760267517.25
0.134507,1760267517.5
0.134507,1760267517.75
0.137069,1760267518.0
0.13835,1760267518.25
0.137069,1760267518.5
0.134507,1760267518.75
0.134507,1760267519.0
0.133226,1760267519.25
0.135788,1760267519.5
0.135788,1760267519.75
0.134507,1760267520.0
0.134507,1760267520.25
0.133226,1760267520.5
0.134507,1760267520.75
0.135788,1760267521.0
0.133226,1760267521.25
0.134507,1760267521.5
0.133226,1760267521.75
0.137069,1760267522.0
0.13835,1760267522.25
0.135788,1760267522.5
0.134507,1760267522.75
0.133226,1760267523.0
0.13835,1760267523.25
0.13835,1760267523.5
0.13835,1760267523.75
0.134507,1760267524.0
0.134507,1760267524.25
0.137069,1760267524.5
0.13835,1760267524.75
0.13835,1760267525.0
0.137069,1760267525.25
0.134507,1760267525.5
0.135788,1760267525.75
0.13835,1760267526.0
0.137069,1760267526.25
0.135788,1760267526.5
0.134507,1760267526.75
0.135788,1760267527.0
0.13835,1760267527.25
0.139631,1760267527.5
0.135788,1760267527.75
0.135788,1760267528.0
0.134507,1760267528.25
