text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,yellow,0,9,4,1,1039
green,yellow,0,9,4,1,666
yellow,yellow,1,1,4,1,611
green,green,1,10,2,1,682
red,red,1,8,1,1,422
red,green,0,6,2,1,945
green,red,0,12,1,1,619
blue,yellow,0,13,4,1,936
blue,yellow,0,13,4,1,763
green,red,0,12,1,1,797
yellow,red,0,4,1,1,670
green,blue,0,11,3,1,704
yellow,red,0,4,1,1,751
red,yellow,0,5,4,1,811
yellow,red,0,4,1,1,688
blue,yellow,0,13,4,1,814
red,green,0,6,2,1,702
green,red,0,12,1,1,670
yellow,blue,0,3,3,1,646
red,blue,0,7,3,1,591
blue,green,0,14,2,1,571
yellow,blue,0,3,3,1,590
blue,blue,1,15,3,1,471
blue,yellow,0,13,4,1,695
blue,green,0,14,2,1,591
blue,red,0,16,1,1,586
blue,blue,1,15,3,1,541
green,yellow,0,9,4,1,1059
yellow,red,0,4,1,1,759
yellow,red,0,4,1,1,472
red,blue,0,7,3,1,580
yellow,yellow,1,1,4,1,471
red,yellow,0,5,4,1,639
green,red,0,12,1,1,703
yellow,green,0,2,2,1,640
blue,yellow,0,13,4,1,570
green,red,0,12,1,1,634
yellow,blue,0,3,3,1,758
red,red,1,8,1,1,567
yellow,green,0,2,2,1,595
green,blue,0,11,3,1,602
red,yellow,0,5,4,1,559
yellow,yellow,1,1,4,1,486
blue,blue,1,15,3,1,587
green,green,1,10,2,1,546
green,blue,0,11,3,1,592
red,green,0,6,2,1,862
red,red,1,8,1,1,537
red,yellow,0,5,4,1,722
green,green,1,10,2,1,567
red,red,1,8,1,1,540
red,blue,0,7,3,1,738
yellow,green,0,2,2,1,747
red,yellow,0,5,4,1,711
blue,green,0,14,2,1,702
blue,green,0,14,2,1,705
blue,green,0,14,2,1,630
red,green,0,6,2,1,629
blue,green,0,14,2,1,581
red,green,0,6,2,1,604
yellow,yellow,1,1,4,1,598
red,yellow,0,5,4,1,563
green,yellow,0,9,4,1,456
blue,yellow,0,13,4,1,502
blue,yellow,0,13,4,1,469
yellow,red,0,4,1,1,535
green,green,1,10,2,1,589
red,red,1,8,1,1,560
yellow,red,0,4,1,1,708
green,blue,0,11,3,1,592
blue,red,0,16,1,1,674
green,red,0,12,1,1,625
yellow,red,0,4,1,1,471
red,blue,0,7,3,1,545
red,yellow,0,5,4,1,607
blue,red,0,16,1,1,597
yellow,blue,0,3,3,1,562
blue,red,0,16,1,1,639
red,blue,0,7,3,1,731
blue,green,0,14,2,1,735
red,blue,0,7,3,1,1967
blue,blue,1,15,3,1,472
yellow,blue,0,3,3,1,416
green,green,1,10,2,1,545
blue,blue,1,15,3,1,473
yellow,yellow,1,1,4,1,567
green,red,0,12,1,1,571
green,blue,0,11,3,1,687
green,yellow,0,9,4,1,1001
red,green,0,6,2,1,770
blue,red,0,16,1,1,788
red,green,0,6,2,1,917
blue,yellow,0,13,4,1,733
green,green,1,10,2,1,906
blue,red,0,16,1,1,734
green,blue,0,11,3,1,635
green,green,1,10,2,1,570
blue,green,0,14,2,1,619
green,yellow,0,9,4,1,624
yellow,blue,0,3,3,1,813
blue,blue,1,15,3,1,528
red,red,1,8,1,1,555
blue,red,0,16,1,1,538
yellow,green,0,2,2,1,650
yellow,blue,0,3,3,1,678
green,green,1,10,2,1,573
blue,blue,1,15,3,1,667
red,red,1,8,1,1,583
green,yellow,0,9,4,1,983
green,red,0,12,1,1,653
blue,blue,1,15,3,1,612
yellow,green,0,2,2,1,913
green,blue,0,11,3,1,658
red,red,1,8,1,1,618
yellow,yellow,1,1,4,1,604
red,green,0,6,2,1,766
yellow,yellow,1,1,4,1,516
red,blue,0,7,3,1,706
yellow,green,0,2,2,1,933
yellow,green,0,2,2,1,775
