eda,time
1.269753,1637401885.5
1.277438,1637401885.75
1.324833,1637401886.0
1.281281,1637401886.25
1.273596,1637401886.5
1.276157,1637401886.75
1.268472,1637401887.0
1.276157,1637401887.25
1.274876,1637401887.5
1.273596,1637401887.75
1.267191,1637401888.0
1.263348,1637401888.25
1.260786,1637401888.5
1.276157,1637401888.75
1.278719,1637401889.0
1.271034,1637401889.25
1.271034,1637401889.5
1.272315,1637401889.75
1.273596,1637401890.0
1.26591,1637401890.25
1.258224,1637401890.5
1.267191,1637401890.75
1.263348,1637401891.0
1.247977,1637401891.25
1.241572,1637401891.5
1.251819,1637401891.75
1.250539,1637401892.0
1.242853,1637401892.25
1.237729,1637401892.5
1.2531,1637401892.75
1.256943,1637401893.0
1.26591,1637401893.25
1.256943,1637401893.5
1.260786,1637401893.75
1.268472,1637401894.0
1.271034,1637401894.25
1.26591,1637401894.5
1.274876,1637401894.75
1.274876,1637401895.0
1.272315,1637401895.25
1.267191,1637401895.5
1.26591,1637401895.75
1.268472,1637401896.0
1.268472,1637401896.25
1.264629,1637401896.5
1.263348,1637401896.75
1.269753,1637401897.0
1.271034,1637401897.25
1.263348,1637401897.5
1.260786,1637401897.75
1.263348,1637401898.0
1.260786,1637401898.25
1.258224,1637401898.5
1.254381,1637401898.75
1.256943,1637401899.0
1.269753,1637401899.25
1.258224,1637401899.5
1.259505,1637401899.75
1.258224,1637401900.0
1.263348,1637401900.25
1.263348,1637401900.5
1.263348,1637401900.75
1.254381,1637401901.0
1.256943,1637401901.25
1.255662,1637401901.5
1.250539,1637401901.75
1.246696,1637401902.0
1.250539,1637401902.25
1.250539,1637401902.5
1.246696,1637401902.75
1.242853,1637401903.0
1.245415,1637401903.25
1.240291,1637401903.5
1.232605,1637401903.75
1.235167,1637401904.0
1.236448,1637401904.25
1.237729,1637401904.5
1.235167,1637401904.75
1.235167,1637401905.0
1.227481,1637401905.25
1.233886,1637401905.5
1.230043,1637401905.75
1.223639,1637401906.0
1.228763,1637401906.25
1.226201,1637401906.5
1.235167,1637401906.75
1.226201,1637401907.0
1.226201,1637401907.25
1.231324,1637401907.5
1.231324,1637401907.75
1.230043,1637401908.0
1.22492,1637401908.25
1.221077,1637401908.5
1.221077,1637401908.75
1.235167,1637401909.0
1.223639,1637401909.25
1.218515,1637401909.5
1.222358,1637401909.75
1.223639,1637401910.0
1.222358,1637401910.25
1.218515,1637401910.5
1.219796,1637401910.75
1.215953,1637401911.0
1.221077,1637401911.25
1.214672,1637401911.5
1.214672,1637401911.75
1.213391,1637401912.0
1.218515,1637401912.25
1.219796,1637401912.5
1.21211,1637401912.75
1.21211,1637401913.0
1.215953,1637401913.25
1.215953,1637401913.5
1.218515,1637401913.75
1.217234,1637401914.0
1.221077,1637401914.25
1.218515,1637401914.5
1.217234,1637401914.75
