bvp,time
-3.6,1637401885.453125
-3.51,1637401885.46875
-3.41,1637401885.484375
-3.24,1637401885.5
-3.02,1637401885.515625
-2.88,1637401885.53125
-2.99,1637401885.546875
-3.45,1637401885.5625
-4.31,1637401885.578125
-5.55,1637401885.59375
-7.12,1637401885.609375
-8.88,1637401885.625
-10.7,1637401885.640625
-12.43,1637401885.65625
-13.96,1637401885.671875
-15.22,1637401885.6875
-16.28,1637401885.703125
-17.18,1637401885.71875
-17.95,1637401885.734375
-18.44,1637401885.75
-18.4,1637401885.765625
-17.59,1637401885.78125
-15.9,1637401885.796875
-13.44,1637401885.8125
-10.5,1637401885.828125
-7.45,1637401885.84375
-4.6,1637401885.859375
-2.17,1637401885.875
-0.34,1637401885.890625
0.75,1637401885.90625
1.02,1637401885.921875
0.5,1637401885.9375
-0.57,1637401885.953125
-1.82,1637401885.96875
-2.93,1637401885.984375
-3.79,1637401886.0
-4.52,1637401886.015625
-5.42,1637401886.03125
-6.75,1637401886.046875
-8.58,1637401886.0625
-10.75,1637401886.078125
-12.96,1637401886.09375
-14.9,1637401886.109375
-16.33,1637401886.125
-17.18,1637401886.140625
-17.57,1637401886.15625
-17.81,1637401886.171875
-18.28,1637401886.1875
-19.31,1637401886.203125
-20.99,1637401886.21875
-23.0,1637401886.234375
-24.75,1637401886.25
-25.63,1637401886.265625
-25.35,1637401886.28125
-24.2,1637401886.296875
-22.95,1637401886.3125
-22.44,1637401886.328125
-23.03,1637401886.34375
-24.31,1637401886.359375
-25.17,1637401886.375
-24.35,1637401886.390625
-21.11,1637401886.40625
-15.62,1637401886.421875
-8.86,1637401886.4375
-2.09,1637401886.453125
3.91,1637401886.46875
9.32,1637401886.484375
15.1,1637401886.5
22.37,1637401886.515625
31.74,1637401886.53125
42.97,1637401886.546875
55.22,1637401886.5625
67.62,1637401886.578125
79.54,1637401886.59375
90.6,1637401886.609375
100.38,1637401886.625
108.24,1637401886.640625
113.5,1637401886.65625
116.03,1637401886.671875
116.56,1637401886.6875
116.66,1637401886.703125
118.11,1637401886.71875
121.94,1637401886.734375
127.63,1637401886.75
132.77,1637401886.765625
133.75,1637401886.78125
127.46,1637401886.796875
113.3,1637401886.8125
94.16,1637401886.828125
75.83,1637401886.84375
64.27,1637401886.859375
62.15,1637401886.875
66.56,1637401886.890625
69.59,1637401886.90625
62.15,1637401886.921875
38.88,1637401886.9375
1.57,1637401886.953125
-41.34,1637401886.96875
-78.69,1637401886.984375
-102.18,1637401887.0
-109.91,1637401887.015625
-106.22,1637401887.03125
-98.28,1637401887.046875
-91.81,1637401887.0625
-88.53,1637401887.078125
-86.56,1637401887.09375
-83.04,1637401887.109375
-76.64,1637401887.125
-68.53,1637401887.140625
-61.67,1637401887.15625
-58.7,1637401887.171875
-60.38,1637401887.1875
-65.07,1637401887.203125
-69.75,1637401887.21875
-71.53,1637401887.234375
-69.01,1637401887.25
-62.75,1637401887.265625
-54.84,1637401887.28125
-47.82,1637401887.296875
-43.39,1637401887.3125
-41.75,1637401887.328125
-41.7,1637401887.34375
-41.21,1637401887.359375
-38.61,1637401887.375
-33.24,1637401887.390625
-25.77,1637401887.40625
-17.85,1637401887.421875
-11.21,1637401887.4375
-6.97,1637401887.453125
-5.21,1637401887.46875
-5.06,1637401887.484375
-5.28,1637401887.5
-4.73,1637401887.515625
-2.9,1637401887.53125
0.08,1637401887.546875
3.68,1637401887.5625
7.28,1637401887.578125
10.49,1637401887.59375
13.25,1637401887.609375
15.79,1637401887.625
18.27,1637401887.640625
20.74,1637401887.65625
22.99,1637401887.671875
24.88,1637401887.6875
26.54,1637401887.703125
28.39,1637401887.71875
31.03,1637401887.734375
34.76,1637401887.75
39.37,1637401887.765625
44.07,1637401887.78125
47.92,1637401887.796875
50.26,1637401887.8125
51.08,1637401887.828125
50.86,1637401887.84375
50.37,1637401887.859375
50.14,1637401887.875
50.28,1637401887.890625
50.59,1637401887.90625
50.75,1637401887.921875
50.56,1637401887.9375
50.04,1637401887.953125
49.25,1637401887.96875
48.31,1637401887.984375
47.31,1637401888.0
46.4,1637401888.015625
45.85,1637401888.03125
45.84,1637401888.046875
46.39,1637401888.0625
47.14,1637401888.078125
47.4,1637401888.09375
46.44,1637401888.109375
43.81,1637401888.125
39.56,1637401888.140625
34.27,1637401888.15625
28.73,1637401888.171875
23.58,1637401888.1875
18.94,1637401888.203125
14.36,1637401888.21875
9.15,1637401888.234375
2.62,1637401888.25
-5.46,1637401888.265625
-14.83,1637401888.28125
-24.83,1637401888.296875
-34.7,1637401888.3125
-43.79,1637401888.328125
-51.69,1637401888.34375
-58.14,1637401888.359375
-63.02,1637401888.375
-66.24,1637401888.390625
-67.83,1637401888.40625
-67.99,1637401888.421875
-67.15,1637401888.4375
-65.87,1637401888.453125
-64.68,1637401888.46875
-63.81,1637401888.484375
-63.21,1637401888.5
-62.55,1637401888.515625
-61.5,1637401888.53125
-59.86,1637401888.546875
-57.69,1637401888.5625
-55.27,1637401888.578125
-52.96,1637401888.59375
-50.97,1637401888.609375
-49.3,1637401888.625
-47.71,1637401888.640625
-45.81,1637401888.65625
-43.31,1637401888.671875
-40.14,1637401888.6875
-36.66,1637401888.703125
-33.54,1637401888.71875
-31.59,1637401888.734375
-31.5,1637401888.75
-33.58,1637401888.765625
-37.57,1637401888.78125
-42.61,1637401888.796875
-47.25,1637401888.8125
-49.79,1637401888.828125
-48.63,1637401888.84375
-42.87,1637401888.859375
-32.69,1637401888.875
-19.37,1637401888.890625
-5.02,1637401888.90625
8.13,1637401888.921875
18.46,1637401888.9375
25.39,1637401888.953125
29.37,1637401888.96875
31.36,1637401888.984375
32.35,1637401889.0
32.83,1637401889.015625
32.9,1637401889.03125
32.39,1637401889.046875
31.32,1637401889.0625
29.95,1637401889.078125
28.67,1637401889.09375
27.85,1637401889.109375
27.53,1637401889.125
27.53,1637401889.140625
27.5,1637401889.15625
27.13,1637401889.171875
26.34,1637401889.1875
25.18,1637401889.203125
23.76,1637401889.21875
22.07,1637401889.234375
20.02,1637401889.25
17.48,1637401889.265625
14.47,1637401889.28125
11.23,1637401889.296875
8.16,1637401889.3125
5.66,1637401889.328125
3.94,1637401889.34375
2.92,1637401889.359375
2.3,1637401889.375
1.78,1637401889.390625
1.14,1637401889.40625
0.34,1637401889.421875
-0.62,1637401889.4375
-1.74,1637401889.453125
-3.16,1637401889.46875
-4.94,1637401889.484375
-7.08,1637401889.5
-9.35,1637401889.515625
-11.36,1637401889.53125
-12.75,1637401889.546875
-13.45,1637401889.5625
-13.66,1637401889.578125
-13.96,1637401889.59375
-14.94,1637401889.609375
-17.06,1637401889.625
-20.44,1637401889.640625
-24.69,1637401889.65625
-29.12,1637401889.671875
-32.71,1637401889.6875
-34.33,1637401889.703125
-32.91,1637401889.71875
-27.79,1637401889.734375
-18.91,1637401889.75
-6.94,1637401889.765625
6.71,1637401889.78125
20.24,1637401889.796875
31.86,1637401889.8125
40.24,1637401889.828125
44.9,1637401889.84375
46.23,1637401889.859375
45.14,1637401889.875
42.72,1637401889.890625
39.8,1637401889.90625
36.74,1637401889.921875
33.56,1637401889.9375
30.17,1637401889.953125
26.57,1637401889.96875
22.95,1637401889.984375
19.65,1637401890.0
16.87,1637401890.015625
14.69,1637401890.03125
13.01,1637401890.046875
11.7,1637401890.0625
10.73,1637401890.078125
10.11,1637401890.09375
9.82,1637401890.109375
9.65,1637401890.125
9.25,1637401890.140625
8.26,1637401890.15625
6.5,1637401890.171875
4.06,1637401890.1875
1.36,1637401890.203125
-1.17,1637401890.21875
-3.18,1637401890.234375
-4.65,1637401890.25
-5.8,1637401890.265625
-7.04,1637401890.28125
