Samsung HR Raw Sensor,time
2.761849e-39,1649753767.0
2.761849e-39,1649753767.0
2.75616e-39,1649753767.0
2.7487110000000002e-39,1649753767.0
2.7438120000000002e-39,1649753767.0
2.740758e-39,1649753767.0
2.7391010000000003e-39,1649753767.0
2.7393020000000003e-39,1649753767.0
2.737969e-39,1649753767.0
2.737969e-39,1649753767.0
2.736224e-39,1649753767.0
2.4237420000000002e-39,1649753797.0
2.4237420000000002e-39,1649753797.0
2.420744e-39,1649753797.0
2.416378e-39,1649753797.0
2.4127850000000002e-39,1649753797.0
2.4108470000000003e-39,1649753797.0
2.4098730000000002e-39,1649753797.0
2.4098730000000002e-39,1649753797.0
2.5351280000000003e-39,1649753827.0
2.5366120000000003e-39,1649753827.0
2.5386220000000003e-39,1649753827.0
2.5398060000000002e-39,1649753827.0
2.5329170000000003e-39,1649753827.0
2.5223930000000003e-39,1649753827.0
2.508197e-39,1649753827.0
2.508197e-39,1649753827.0
2.505139e-39,1649753827.0
2.426261e-39,1649753830.0
2.426261e-39,1649753830.0
2.417451e-39,1649753830.0
2.4125720000000002e-39,1649753830.0
2.4101420000000003e-39,1649753830.0
2.40988e-39,1649753830.0
2.40988e-39,1649753830.0
2.4089370000000002e-39,1649753830.0
2.406572e-39,1649753830.0
2.405036e-39,1649753830.0
2.4041240000000002e-39,1649753830.0
2.40462e-39,1649753830.0
2.4061150000000002e-39,1649753830.0
2.4125460000000002e-39,1649753830.0
2.4102210000000003e-39,1649753830.0
2.4125460000000002e-39,1649753830.0
2.4972410000000002e-39,1649753833.0
2.4937210000000002e-39,1649753833.0
2.4907020000000003e-39,1649753833.0
2.4894670000000002e-39,1649753833.0
2.4897220000000003e-39,1649753833.0
2.490528e-39,1649753833.0
2.4918899999999998e-39,1649753833.0
2.493161e-39,1649753833.0
2.49427e-39,1649753833.0
2.49427e-39,1649753833.0
2.49538e-39,1649753834.0
2.4969090000000002e-39,1649753834.0
2.499513e-39,1649753834.0
2.5017199999999997e-39,1649753834.0
2.5043599999999997e-39,1649753834.0
2.506854e-39,1649753834.0
2.5091790000000002e-39,1649753834.0
2.511835e-39,1649753834.0
2.5168670000000003e-39,1649753834.0
2.5168670000000003e-39,1649753834.0
2.5196450000000003e-39,1649753834.0
2.522566e-39,1649753834.0
2.5253780000000002e-39,1649753834.0
2.5283730000000003e-39,1649753834.0
2.5316120000000002e-39,1649753834.0
2.5342660000000002e-39,1649753834.0
2.532379e-39,1649753834.0
2.528438e-39,1649753834.0
2.525783e-39,1649753834.0
2.5242260000000002e-39,1649753834.0
2.5246299999999997e-39,1649753834.0
2.525246e-39,1649753834.0
2.5261660000000003e-39,1649753834.0
2.526432e-39,1649753834.0
2.526226e-39,1649753834.0
2.5264370000000002e-39,1649753835.0
2.52713e-39,1649753835.0
2.5289020000000003e-39,1649753835.0
2.5302920000000002e-39,1649753835.0
2.532307e-39,1649753835.0
