eda,time
0.190849,1649753753.0
0.19213,1649753753.25
0.202377,1649753753.5
0.198535,1649753753.75
0.193411,1649753754.0
0.195973,1649753754.25
0.193411,1649753754.5
0.194692,1649753754.75
0.194692,1649753755.0
0.193411,1649753755.25
0.190849,1649753755.5
0.190849,1649753755.75
0.19213,1649753756.0
0.190849,1649753756.25
0.19213,1649753756.5
0.19213,1649753756.75
0.194692,1649753757.0
0.194692,1649753757.25
0.194692,1649753757.5
0.193411,1649753757.75
0.19213,1649753758.0
0.193411,1649753758.25
0.19213,1649753758.5
0.195973,1649753758.75
0.194692,1649753759.0
0.195973,1649753759.25
0.195973,1649753759.5
0.197254,1649753759.75
0.193411,1649753760.0
0.193411,1649753760.25
0.193411,1649753760.5
0.193411,1649753760.75
0.194692,1649753761.0
0.195973,1649753761.25
0.195973,1649753761.5
0.194692,1649753761.75
0.197254,1649753762.0
0.19213,1649753762.25
0.19213,1649753762.5
0.19213,1649753762.75
0.194692,1649753763.0
0.195973,1649753763.25
0.194692,1649753763.5
0.195973,1649753763.75
0.195973,1649753764.0
0.193411,1649753764.25
0.19213,1649753764.5
0.19213,1649753764.75
0.194692,1649753765.0
0.194692,1649753765.25
0.197254,1649753765.5
0.211343,1649753765.75
0.195973,1649753766.0
0.197254,1649753766.25
0.194692,1649753766.5
0.194692,1649753766.75
0.193411,1649753767.0
0.194692,1649753767.25
0.194692,1649753767.5
0.195973,1649753767.75
0.197254,1649753768.0
0.195973,1649753768.25
0.195973,1649753768.5
0.195973,1649753768.75
0.193411,1649753769.0
0.194692,1649753769.25
0.194692,1649753769.5
0.195973,1649753769.75
0.195973,1649753770.0
0.197254,1649753770.25
0.198535,1649753770.5
0.198535,1649753770.75
0.197254,1649753771.0
0.194692,1649753771.25
0.194692,1649753771.5
0.194692,1649753771.75
0.198535,1649753772.0
0.198535,1649753772.25
0.198535,1649753772.5
0.198535,1649753772.75
0.198535,1649753773.0
0.198535,1649753773.25
0.194692,1649753773.5
0.195973,1649753773.75
0.194692,1649753774.0
0.195973,1649753774.25
0.197254,1649753774.5
0.198535,1649753774.75
0.198535,1649753775.0
0.197254,1649753775.25
0.198535,1649753775.5
0.194692,1649753775.75
