bvp,time
9.65,1767084708.8125
4.69,1767084708.828125
-0.67,1767084708.84375
-6.82,1767084708.859375
-13.98,1767084708.875
-21.85,1767084708.890625
-29.47,1767084708.90625
-35.23,1767084708.921875
-37.39,1767084708.9375
-34.53,1767084708.953125
-26.17,1767084708.96875
-13.01,1767084708.984375
3.15,1767084709.0
19.92,1767084709.015625
34.96,1767084709.03125
46.6,1767084709.046875
54.25,1767084709.0625
58.37,1767084709.078125
60.21,1767084709.09375
61.25,1767084709.109375
62.61,1767084709.125
64.71,1767084709.140625
67.1,1767084709.15625
68.85,1767084709.171875
68.94,1767084709.1875
66.81,1767084709.203125
62.55,1767084709.21875
56.84,1767084709.234375
50.54,1767084709.25
44.36,1767084709.265625
38.59,1767084709.28125
33.27,1767084709.296875
28.3,1767084709.3125
23.6,1767084709.328125
19.15,1767084709.34375
14.83,1767084709.359375
10.32,1767084709.375
5.22,1767084709.390625
-0.68,1767084709.40625
-7.18,1767084709.421875
-13.75,1767084709.4375
-19.72,1767084709.453125
-24.76,1767084709.46875
-29.01,1767084709.484375
-33.04,1767084709.5
-37.26,1767084709.515625
-41.42,1767084709.53125
-44.53,1767084709.546875
-45.11,1767084709.5625
-41.84,1767084709.578125
-34.23,1767084709.59375
-22.81,1767084709.609375
-8.91,1767084709.625
5.87,1767084709.640625
20.22,1767084709.65625
33.44,1767084709.671875
45.38,1767084709.6875
56.13,1767084709.703125
65.83,1767084709.71875
74.36,1767084709.734375
81.45,1767084709.75
86.86,1767084709.765625
90.52,1767084709.78125
92.72,1767084709.796875
94.0,1767084709.8125
95.09,1767084709.828125
96.67,1767084709.84375
99.24,1767084709.859375
102.99,1767084709.875
107.72,1767084709.890625
112.86,1767084709.90625
117.55,1767084709.921875
120.82,1767084709.9375
121.93,1767084709.953125
120.69,1767084709.96875
117.6,1767084709.984375
113.63,1767084710.0
109.93,1767084710.015625
107.17,1767084710.03125
105.16,1767084710.046875
102.65,1767084710.0625
97.42,1767084710.078125
86.63,1767084710.09375
67.51,1767084710.109375
38.29,1767084710.125
-0.97,1767084710.140625
-47.73,1767084710.15625
-97.23,1767084710.171875
-143.58,1767084710.1875
-181.49,1767084710.203125
-207.84,1767084710.21875
-222.49,1767084710.234375
-227.8,1767084710.25
-227.27,1767084710.265625
-223.94,1767084710.28125
-219.38,1767084710.296875
-213.53,1767084710.3125
-205.46,1767084710.328125
-194.25,1767084710.34375
-179.61,1767084710.359375
-162.08,1767084710.375
-142.67,1767084710.390625
-122.39,1767084710.40625
-102.04,1767084710.421875
-82.16,1767084710.4375
-63.13,1767084710.453125
-45.35,1767084710.46875
-29.37,1767084710.484375
-15.77,1767084710.5
-5.01,1767084710.515625
2.85,1767084710.53125
8.21,1767084710.546875
11.95,1767084710.5625
15.02,1767084710.578125
18.19,1767084710.59375
21.66,1767084710.609375
25.2,1767084710.625
28.33,1767084710.640625
30.68,1767084710.65625
32.21,1767084710.671875
33.24,1767084710.6875
34.21,1767084710.703125
35.36,1767084710.71875
36.64,1767084710.734375
37.65,1767084710.75
37.9,1767084710.765625
37.1,1767084710.78125
35.22,1767084710.796875
32.54,1767084710.8125
29.42,1767084710.828125
26.19,1767084710.84375
22.98,1767084710.859375
19.79,1767084710.875
16.49,1767084710.890625
12.95,1767084710.90625
9.14,1767084710.921875
5.09,1767084710.9375
0.87,1767084710.953125
-3.48,1767084710.96875
-7.96,1767084710.984375
-12.66,1767084711.0
-17.74,1767084711.015625
-23.39,1767084711.03125
-29.76,1767084711.046875
-36.8,1767084711.0625
-44.17,1767084711.078125
-51.02,1767084711.09375
-56.16,1767084711.109375
-58.27,1767084711.125
-56.36,1767084711.140625
-50.11,1767084711.15625
-40.11,1767084711.171875
-27.71,1767084711.1875
-14.58,1767084711.203125
-2.27,1767084711.21875
8.15,1767084711.234375
16.23,1767084711.25
21.98,1767084711.265625
