PPG GREEN,time
2175598.0,1611470706.314
2176180.0,1611470706.353
2177322.0,1611470706.394
2178048.0,1611470706.436
2179220.0,1611470706.472
2180544.0,1611470706.512
2180535.0,1611470706.554
2178755.0,1611470706.593
2176340.0,1611470706.634
2174256.0,1611470706.674
2173032.0,1611470706.713
2172023.0,1611470706.754
2171751.0,1611470706.798
2171800.0,1611470706.838
2171808.0,1611470706.877
2171506.0,1611470706.918
2171566.0,1611470706.957
2171972.0,1611470706.997
2172601.0,1611470707.039
2173417.0,1611470707.077
2174305.0,1611470707.117
2175657.0,1611470707.159
2176584.0,1611470707.198
2177803.0,1611470707.238
2178931.0,1611470707.279
2179957.0,1611470707.318
2178687.0,1611470707.358
2176113.0,1611470707.399
2173730.0,1611470707.439
2172536.0,1611470707.478
2171354.0,1611470707.519
2170438.0,1611470707.558
2170262.0,1611470707.598
2170415.0,1611470707.64
2170374.0,1611470707.678
2170452.0,1611470707.719
2170329.0,1611470707.76
2171050.0,1611470707.799
2171504.0,1611470707.84
2172555.0,1611470707.88
2173702.0,1611470707.919
2174649.0,1611470707.959
2175792.0,1611470708.0
2177031.0,1611470708.04
2178257.0,1611470708.079
2179873.0,1611470708.121
2179205.0,1611470708.16
2176979.0,1611470708.201
2174766.0,1611470708.242
2173536.0,1611470708.281
2172752.0,1611470708.321
2172158.0,1611470708.362
2171921.0,1611470708.402
2172128.0,1611470708.443
2172209.0,1611470708.481
2172214.0,1611470708.52
2172543.0,1611470708.561
2173199.0,1611470708.602
2173871.0,1611470708.642
2174846.0,1611470708.681
2175934.0,1611470708.722
2177282.0,1611470708.762
2178273.0,1611470708.802
2179769.0,1611470708.844
2181202.0,1611470708.88
2182576.0,1611470708.92
2183744.0,1611470708.962
2182777.0,1611470709.001
2180637.0,1611470709.042
2178932.0,1611470709.081
2178039.0,1611470709.112
2177813.0,1611470709.153
2177420.0,1611470709.194
2177588.0,1611470709.233
2177825.0,1611470709.273
2178097.0,1611470709.314
2178263.0,1611470709.353
2178989.0,1611470709.393
2179764.0,1611470709.435
2180530.0,1611470709.473
2182888.0,1611470709.554
2181739.0,1611470709.513
2183963.0,1611470709.594
2185181.0,1611470709.634
2186696.0,1611470709.675
2187728.0,1611470709.714
2187057.0,1611470709.754
2185313.0,1611470709.786
2183810.0,1611470709.823
2183272.0,1611470709.86
2182986.0,1611470709.901
2183296.0,1611470709.94
2183673.0,1611470709.98
2184265.0,1611470710.022
2184689.0,1611470710.101
2184411.0,1611470710.061
2185410.0,1611470710.142
2186350.0,1611470710.182
2187297.0,1611470710.223
2188423.0,1611470710.261
2189560.0,1611470710.3
2191028.0,1611470710.34
2191922.0,1611470710.382
2191974.0,1611470710.422
2190167.0,1611470710.461
2188437.0,1611470710.502
2187299.0,1611470710.542
2187284.0,1611470710.582
2186898.0,1611470710.624
2187556.0,1611470710.66
2187647.0,1611470710.7
2188047.0,1611470710.742
2188553.0,1611470710.781
2188910.0,1611470710.822
2189614.0,1611470710.862
2190737.0,1611470710.901
2191575.0,1611470710.942
2192991.0,1611470710.983
2194150.0,1611470711.023
2196278.0,1611470711.102
2195618.0,1611470711.06
2194762.0,1611470711.141
2192911.0,1611470711.181
2191175.0,1611470711.223
2190248.0,1611470711.261
2189360.0,1611470711.343
2189793.0,1611470711.302
2189256.0,1611470711.382
2189428.0,1611470711.421
2189604.0,1611470711.462
2189538.0,1611470711.501
2190013.0,1611470711.543
2190501.0,1611470711.582
2191386.0,1611470711.622
2193311.0,1611470711.702
2194430.0,1611470711.741
2192140.0,1611470711.661
2195290.0,1611470711.781
2194151.0,1611470711.823
2191703.0,1611470711.861
2189968.0,1611470711.901
2188898.0,1611470711.943
2188355.0,1611470711.982
2187852.0,1611470712.022
2187967.0,1611470712.063
2188402.0,1611470712.142
2188256.0,1611470712.102
2188534.0,1611470712.183
2189148.0,1611470712.223
2189629.0,1611470712.262
2190607.0,1611470712.303
2191829.0,1611470712.342
2192971.0,1611470712.383
2194047.0,1611470712.423
2195242.0,1611470712.461
2195103.0,1611470712.501
2192881.0,1611470712.543
2189407.0,1611470712.623
2190596.0,1611470712.582
2188739.0,1611470712.663
2188283.0,1611470712.702
2188302.0,1611470712.743
2188409.0,1611470712.784
2188402.0,1611470712.824
2188433.0,1611470712.861
2188465.0,1611470712.902
2189541.0,1611470712.982
2188944.0,1611470712.941
2190369.0,1611470713.024
2191381.0,1611470713.061
2192456.0,1611470713.101
2193055.0,1611470713.143
2189718.0,1611470713.223
2191896.0,1611470713.182
2188348.0,1611470713.263
2187196.0,1611470713.302
2186947.0,1611470713.343
2186508.0,1611470713.384
2186785.0,1611470713.422
2186918.0,1611470713.461
2186940.0,1611470713.502
2187244.0,1611470713.541
2187695.0,1611470713.581
2188636.0,1611470713.623
2190604.0,1611470713.701
2189506.0,1611470713.661
2191513.0,1611470713.743
2192460.0,1611470713.782
2192445.0,1611470713.822
2190547.0,1611470713.863
2187789.0,1611470713.902
2186351.0,1611470713.942
2185382.0,1611470713.983
2184549.0,1611470714.023
2184556.0,1611470714.062
2184731.0,1611470714.103
2184655.0,1611470714.142
2184818.0,1611470714.183
2185818.0,1611470714.263
2185032.0,1611470714.224
2186986.0,1611470714.344
2186240.0,1611470714.303
2188141.0,1611470714.382
2189107.0,1611470714.423
2190425.0,1611470714.463
2190562.0,1611470714.502
2188511.0,1611470714.543
2186231.0,1611470714.584
2184352.0,1611470714.625
2183000.0,1611470714.661
2181393.0,1611470714.702
2180909.0,1611470714.742
2180810.0,1611470714.782
2180741.0,1611470714.824
2181062.0,1611470714.862
2181111.0,1611470714.902
2181268.0,1611470714.944
2181574.0,1611470714.983
2182373.0,1611470715.024
2183191.0,1611470715.064
2184290.0,1611470715.103
2186668.0,1611470715.185
2185487.0,1611470715.144
2186743.0,1611470715.262
2187823.0,1611470715.225
2180894.0,1611470715.383
2181950.0,1611470715.342
2184021.0,1611470715.303
2179966.0,1611470715.425
2179234.0,1611470715.503
2179293.0,1611470715.584
2179332.0,1611470715.545
2179254.0,1611470715.463
2179308.0,1611470715.625
2179770.0,1611470715.663
2180957.0,1611470715.743
2182100.0,1611470715.784
2180285.0,1611470715.702
2182797.0,1611470715.824
2185222.0,1611470715.905
2184013.0,1611470715.863
2186857.0,1611470715.984
2186730.0,1611470715.944
2185382.0,1611470716.026
2183299.0,1611470716.062
2182082.0,1611470716.103
2181194.0,1611470716.144
2180699.0,1611470716.183
2180795.0,1611470716.265
2180636.0,1611470716.224
2180951.0,1611470716.304
2180987.0,1611470716.344
2181946.0,1611470716.425
2181449.0,1611470716.385
2182606.0,1611470716.463
2183650.0,1611470716.504
2184648.0,1611470716.543
2185995.0,1611470716.583
2187100.0,1611470716.625
2188059.0,1611470716.664
2187341.0,1611470716.704
2185368.0,1611470716.745
2183758.0,1611470716.784
2182898.0,1611470716.825
2182331.0,1611470716.864
2182115.0,1611470716.903
2182288.0,1611470716.943
2182668.0,1611470716.984
2182951.0,1611470717.024
2183234.0,1611470717.064
2183738.0,1611470717.105
2184375.0,1611470717.144
2185453.0,1611470717.185
2186276.0,1611470717.224
2187509.0,1611470717.263
2188630.0,1611470717.303
2189454.0,1611470717.344
2186407.0,1611470717.424
2188467.0,1611470717.383
2184359.0,1611470717.504
2185091.0,1611470717.464
2184232.0,1611470717.585
2184063.0,1611470717.544
2184555.0,1611470717.625
2184727.0,1611470717.664
2185069.0,1611470717.706
2185441.0,1611470717.745
2185997.0,1611470717.783
2186946.0,1611470717.825
2187695.0,1611470717.864
2188870.0,1611470717.904
2190161.0,1611470717.945
2191394.0,1611470717.984
2192305.0,1611470718.025
2192081.0,1611470718.066
2189956.0,1611470718.105
2188370.0,1611470718.145
2187526.0,1611470718.184
2187323.0,1611470718.224
2187181.0,1611470718.264
2187566.0,1611470718.305
2187915.0,1611470718.344
2188042.0,1611470718.385
2188278.0,1611470718.426
2188653.0,1611470718.465
2189276.0,1611470718.505
2190136.0,1611470718.546
2191229.0,1611470718.584
2192362.0,1611470718.624
2193408.0,1611470718.665
2193937.0,1611470718.704
2193015.0,1611470718.744
