text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
blue,blue,1,15,3,1,1121
red,red,1,8,1,1,1829
blue,red,0,16,3,2,955
green,green,1,10,2,1,1256
green,blue,0,11,3,1,1172
green,blue,0,11,3,1,592
blue,green,0,14,2,1,1615
blue,red,0,16,1,1,1226
red,green,0,6,1,2,1284
yellow,green,0,2,4,2,1303
yellow,blue,0,3,3,1,964
green,red,0,12,1,1,797
blue,green,0,14,2,1,1052
green,green,1,10,2,1,1011
yellow,blue,0,3,3,1,839
blue,yellow,0,13,4,1,951
yellow,yellow,1,1,4,1,1190
red,blue,0,7,3,1,1065
green,red,0,12,1,1,1130
red,blue,0,7,3,1,800
green,green,1,10,2,1,1366
yellow,blue,0,3,3,1,1159
red,green,0,6,2,1,1067
green,red,0,12,1,1,875
green,yellow,0,9,4,1,705
red,red,1,8,1,1,1037
yellow,red,0,4,1,1,1229
blue,yellow,0,13,4,1,1941
blue,green,0,14,2,1,1145
yellow,green,0,2,2,1,1180
blue,yellow,0,13,4,1,1376
blue,yellow,0,13,4,1,812
yellow,green,0,2,2,1,927
blue,blue,1,15,3,1,563
yellow,red,0,4,1,1,580
red,red,1,8,1,1,575
green,blue,0,11,3,1,615
yellow,green,0,2,2,1,434
red,yellow,0,5,4,1,359
blue,yellow,0,13,4,1,444
green,green,1,10,2,1,708
blue,red,0,16,1,1,367
blue,blue,1,15,3,1,446
green,yellow,0,9,4,1,548
blue,blue,1,15,3,1,534
green,yellow,0,9,4,1,528
green,green,1,10,2,1,941
yellow,yellow,1,1,4,1,700
red,yellow,0,5,4,1,526
red,green,0,6,3,2,883
green,blue,0,11,3,1,922
yellow,yellow,1,1,4,1,925
green,yellow,0,9,4,1,470
yellow,blue,0,3,3,1,660
red,yellow,0,5,4,1,674
blue,green,0,14,2,1,771
yellow,green,0,2,4,2,636
red,red,1,8,1,1,593
blue,blue,1,15,3,1,603
red,blue,0,7,3,1,608
blue,red,0,16,1,1,485
green,blue,0,11,3,1,643
red,blue,0,7,3,1,570
blue,red,0,16,1,1,570
red,blue,0,7,3,1,688
yellow,red,0,4,1,1,1150
yellow,yellow,1,1,4,1,670
red,green,0,6,3,2,1003
blue,blue,1,15,3,1,633
red,green,0,6,2,1,1897
green,green,1,10,2,1,602
yellow,yellow,1,1,4,1,666
green,blue,0,11,3,1,1396
red,green,0,6,2,1,1503
green,red,0,12,1,1,827
blue,yellow,0,13,4,1,672
green,yellow,0,9,4,1,622
yellow,yellow,1,1,4,1,504
red,yellow,0,5,4,1,393
red,yellow,0,5,4,1,419
green,green,1,10,2,1,786
red,red,1,8,1,1,641
yellow,yellow,1,1,4,1,593
red,green,0,6,2,1,1293
yellow,red,0,4,1,1,628
yellow,blue,0,3,3,1,654
green,red,0,12,1,1,585
yellow,green,0,2,2,1,935
yellow,green,0,2,2,1,476
yellow,blue,0,3,3,1,663
red,yellow,0,5,4,1,653
green,red,0,12,1,1,502
yellow,red,0,4,1,1,873
blue,yellow,0,13,2,2,1102
blue,red,0,16,1,1,719
green,green,1,10,3,2,844
green,red,0,12,1,1,633
yellow,blue,0,3,3,1,941
yellow,yellow,1,1,4,1,608
red,red,1,8,1,1,504
red,blue,0,7,3,1,652
blue,red,0,16,1,1,1056
red,red,1,8,1,1,430
blue,yellow,0,13,4,1,589
blue,red,0,16,1,1,718
yellow,red,0,4,1,1,489
green,blue,0,11,3,1,628
yellow,green,0,2,2,1,434
green,yellow,0,9,4,1,679
blue,green,0,14,2,1,662
green,red,0,12,1,1,507
blue,blue,1,15,3,1,656
blue,green,0,14,2,1,934
blue,green,0,14,2,1,435
red,green,0,6,2,1,359
red,yellow,0,5,4,1,555
red,yellow,0,5,4,1,482
green,yellow,0,9,4,1,361
red,red,1,8,1,1,534
yellow,red,0,4,1,1,343
