bvp,time
5.18,1637402255.25
5.84,1637402255.265625
6.52,1637402255.28125
7.27,1637402255.296875
7.98,1637402255.3125
8.41,1637402255.328125
8.3,1637402255.34375
7.47,1637402255.359375
5.92,1637402255.375
3.86,1637402255.390625
1.59,1637402255.40625
-0.54,1637402255.421875
-2.14,1637402255.4375
-2.99,1637402255.453125
-2.94,1637402255.46875
-2.05,1637402255.484375
-0.48,1637402255.5
1.47,1637402255.515625
3.51,1637402255.53125
5.38,1637402255.546875
6.95,1637402255.5625
8.24,1637402255.578125
9.36,1637402255.59375
10.43,1637402255.609375
11.54,1637402255.625
12.68,1637402255.640625
13.71,1637402255.65625
14.42,1637402255.671875
14.65,1637402255.6875
14.36,1637402255.703125
13.6,1637402255.71875
12.56,1637402255.734375
11.44,1637402255.75
10.31,1637402255.765625
9.1,1637402255.78125
7.61,1637402255.796875
5.64,1637402255.8125
3.07,1637402255.828125
-0.06,1637402255.84375
-3.58,1637402255.859375
-7.4,1637402255.875
-11.63,1637402255.890625
-16.63,1637402255.90625
-22.86,1637402255.921875
-30.68,1637402255.9375
-40.21,1637402255.953125
-51.31,1637402255.96875
-63.62,1637402255.984375
-76.63,1637402256.0
-89.7,1637402256.015625
-101.97,1637402256.03125
-112.33,1637402256.046875
-119.68,1637402256.0625
-123.2,1637402256.078125
-122.7,1637402256.09375
-118.72,1637402256.109375
-112.29,1637402256.125
-104.42,1637402256.140625
-95.83,1637402256.15625
-86.75,1637402256.171875
-77.26,1637402256.1875
-67.66,1637402256.203125
-58.64,1637402256.21875
-50.9,1637402256.234375
-44.69,1637402256.25
-39.14,1637402256.265625
-32.29,1637402256.28125
-21.66,1637402256.296875
-5.25,1637402256.3125
17.49,1637402256.328125
45.26,1637402256.34375
75.2,1637402256.359375
103.86,1637402256.375
128.22,1637402256.390625
146.54,1637402256.40625
158.73,1637402256.421875
166.03,1637402256.4375
170.39,1637402256.453125
173.68,1637402256.46875
177.11,1637402256.484375
180.94,1637402256.5
184.48,1637402256.515625
186.28,1637402256.53125
184.35,1637402256.546875
176.49,1637402256.5625
160.66,1637402256.578125
135.7,1637402256.59375
102.21,1637402256.609375
63.15,1637402256.625
23.69,1637402256.640625
-10.23,1637402256.65625
-34.08,1637402256.671875
-46.64,1637402256.6875
-50.43,1637402256.703125
-50.48,1637402256.71875
-51.89,1637402256.734375
-57.52,1637402256.75
-67.21,1637402256.765625
-78.55,1637402256.78125
-88.67,1637402256.796875
-95.83,1637402256.8125
-99.87,1637402256.828125
-101.6,1637402256.84375
-101.78,1637402256.859375
-100.46,1637402256.875
-97.16,1637402256.890625
-91.53,1637402256.90625
-83.92,1637402256.921875
-75.53,1637402256.9375
-67.84,1637402256.953125
-62.05,1637402256.96875
-58.54,1637402256.984375
-56.85,1637402257.0
-55.97,1637402257.015625
-54.78,1637402257.03125
-52.71,1637402257.046875
-49.86,1637402257.0625
-47.0,1637402257.078125
-45.11,1637402257.09375
-44.86,1637402257.109375
-46.16,1637402257.125
-48.07,1637402257.140625
-49.07,1637402257.15625
-47.68,1637402257.171875
-43.02,1637402257.1875
-35.18,1637402257.203125
-25.18,1637402257.21875
-14.63,1637402257.234375
-5.17,1637402257.25
1.99,1637402257.265625
6.31,1637402257.28125
7.95,1637402257.296875
7.59,1637402257.3125
6.16,1637402257.328125
4.53,1637402257.34375
3.43,1637402257.359375
3.26,1637402257.375
4.15,1637402257.390625
5.86,1637402257.40625
8.05,1637402257.421875
10.24,1637402257.4375
12.04,1637402257.453125
13.18,1637402257.46875
13.49,1637402257.484375
12.96,1637402257.5
11.68,1637402257.515625
9.86,1637402257.53125
7.78,1637402257.546875
5.76,1637402257.5625
4.01,1637402257.578125
2.61,1637402257.59375
1.49,1637402257.609375
0.48,1637402257.625
-0.51,1637402257.640625
-1.49,1637402257.65625
-2.33,1637402257.671875
-2.88,1637402257.6875
-3.06,1637402257.703125
-2.96,1637402257.71875
-2.74,1637402257.734375
-2.58,1637402257.75
-2.64,1637402257.765625
-2.99,1637402257.78125
-3.64,1637402257.796875
-4.61,1637402257.8125
-5.83,1637402257.828125
-7.23,1637402257.84375
-8.69,1637402257.859375
-10.02,1637402257.875
-11.03,1637402257.890625
-11.64,1637402257.90625
-11.86,1637402257.921875
-11.84,1637402257.9375
-11.77,1637402257.953125
-11.79,1637402257.96875
-11.94,1637402257.984375
-12.07,1637402258.0
-11.93,1637402258.015625
-11.31,1637402258.03125
-10.11,1637402258.046875
-8.42,1637402258.0625
-6.44,1637402258.078125
-4.37,1637402258.09375
-2.23,1637402258.109375
0.19,1637402258.125
3.21,1637402258.140625
7.08,1637402258.15625
11.74,1637402258.171875
16.9,1637402258.1875
22.1,1637402258.203125
27.01,1637402258.21875
31.53,1637402258.234375
35.83,1637402258.25
40.17,1637402258.265625
44.65,1637402258.28125
49.18,1637402258.296875
53.49,1637402258.3125
57.32,1637402258.328125
60.57,1637402258.34375
63.26,1637402258.359375
65.57,1637402258.375
67.56,1637402258.390625
69.14,1637402258.40625
70.11,1637402258.421875
70.25,1637402258.4375
69.41,1637402258.453125
67.59,1637402258.46875
64.92,1637402258.484375
61.52,1637402258.5
57.51,1637402258.515625
53.05,1637402258.53125
48.35,1637402258.546875
43.67,1637402258.5625
39.3,1637402258.578125
35.32,1637402258.59375
31.53,1637402258.609375
27.43,1637402258.625
22.37,1637402258.640625
15.81,1637402258.65625
7.57,1637402258.671875
-2.08,1637402258.6875
-12.46,1637402258.703125
-22.72,1637402258.71875
-32.08,1637402258.734375
-40.03,1637402258.75
-46.39,1637402258.765625
-51.37,1637402258.78125
-55.33,1637402258.796875
-58.69,1637402258.8125
-61.69,1637402258.828125
-64.36,1637402258.84375
-66.49,1637402258.859375
-67.73,1637402258.875
-67.84,1637402258.890625
-66.78,1637402258.90625
-64.8,1637402258.921875
-62.33,1637402258.9375
-59.83,1637402258.953125
-57.65,1637402258.96875
-56.0,1637402258.984375
-54.96,1637402259.0
-54.5,1637402259.015625
-54.57,1637402259.03125
-55.11,1637402259.046875
-56.06,1637402259.0625
-57.41,1637402259.078125
-59.14,1637402259.09375
-61.2,1637402259.109375
-63.45,1637402259.125
-65.72,1637402259.140625
-67.8,1637402259.15625
-69.56,1637402259.171875
-70.99,1637402259.1875
-72.18,1637402259.203125
-73.28,1637402259.21875
-74.5,1637402259.234375
-76.11,1637402259.25
-78.38,1637402259.265625
-81.47,1637402259.28125
-85.18,1637402259.296875
-88.75,1637402259.3125
-90.91,1637402259.328125
-90.22,1637402259.34375
-85.62,1637402259.359375
-76.95,1637402259.375
-65.11,1637402259.390625
-51.68,1637402259.40625
-38.36,1637402259.421875
-26.31,1637402259.4375
-16.01,1637402259.453125
-7.33,1637402259.46875
0.0,1637402259.484375
6.13,1637402259.5
10.94,1637402259.515625
14.27,1637402259.53125
16.11,1637402259.546875
16.7,1637402259.5625
16.55,1637402259.578125
16.19,1637402259.59375
16.09,1637402259.609375
16.51,1637402259.625
17.49,1637402259.640625
18.91,1637402259.65625
20.62,1637402259.671875
22.48,1637402259.6875
24.5,1637402259.703125
26.74,1637402259.71875
29.23,1637402259.734375
31.83,1637402259.75
34.18,1637402259.765625
35.84,1637402259.78125
36.37,1637402259.796875
35.61,1637402259.8125
33.63,1637402259.828125
30.76,1637402259.84375
27.36,1637402259.859375
23.73,1637402259.875
20.12,1637402259.890625
16.73,1637402259.90625
13.69,1637402259.921875
11.11,1637402259.9375
8.94,1637402259.953125
7.0,1637402259.96875
5.01,1637402259.984375
2.77,1637402260.0
0.26,1637402260.015625
-2.39,1637402260.03125
-4.96,1637402260.046875
-7.33,1637402260.0625
-9.58,1637402260.078125
-12.02,1637402260.09375
-15.05,1637402260.109375
-18.92,1637402260.125
-23.62,1637402260.140625
-28.87,1637402260.15625
-34.23,1637402260.171875
-39.33,1637402260.1875
-44.04,1637402260.203125
-48.54,1637402260.21875
-53.31,1637402260.234375
-58.95,1637402260.25
-66.0,1637402260.265625
-74.78,1637402260.28125
-85.11,1637402260.296875
-96.2,1637402260.3125
-106.64,1637402260.328125
-114.55,1637402260.34375
-117.99,1637402260.359375
-115.53,1637402260.375
-106.69,1637402260.390625
-92.19,1637402260.40625
-73.76,1637402260.421875
-53.6,1637402260.4375
-33.79,1637402260.453125
-15.85,1637402260.46875
-0.52,1637402260.484375
12.04,1637402260.5
22.04,1637402260.515625
29.71,1637402260.53125
35.23,1637402260.546875
38.7,1637402260.5625
40.22,1637402260.578125
40.08,1637402260.59375
38.7,1637402260.609375
36.74,1637402260.625
34.89,1637402260.640625
33.84,1637402260.65625
34.05,1637402260.671875
35.78,1637402260.6875
38.88,1637402260.703125
42.97,1637402260.71875
47.44,1637402260.734375
51.54,1637402260.75
54.57,1637402260.765625
55.95,1637402260.78125
55.32,1637402260.796875
52.61,1637402260.8125
48.04,1637402260.828125
42.12,1637402260.84375
35.5,1637402260.859375
28.76,1637402260.875
22.26,1637402260.890625
15.97,1637402260.90625
9.58,1637402260.921875
2.66,1637402260.9375
-5.09,1637402260.953125
-13.6,1637402260.96875
-22.44,1637402260.984375
-30.98,1637402261.0
-38.68,1637402261.015625
-45.39,1637402261.03125
-51.54,1637402261.046875
-58.01,1637402261.0625
-65.9,1637402261.078125
-75.94,1637402261.09375
-88.1,1637402261.109375
-101.22,1637402261.125
-113.2,1637402261.140625
-121.49,1637402261.15625
-123.77,1637402261.171875
-118.71,1637402261.1875
-106.27,1637402261.203125
-87.63,1637402261.21875
-64.83,1637402261.234375
-40.21,1637402261.25
-15.98,1637402261.265625
6.05,1637402261.28125
24.51,1637402261.296875
38.49,1637402261.3125
47.55,1637402261.328125
51.75,1637402261.34375
51.65,1637402261.359375
48.28,1637402261.375
42.96,1637402261.390625
37.07,1637402261.40625
31.84,1637402261.421875
28.18,1637402261.4375
26.59,1637402261.453125
27.13,1637402261.46875
29.5,1637402261.484375
33.18,1637402261.5
37.58,1637402261.515625
