temp,time
34.18,1637402255.25
34.18,1637402255.5
34.18,1637402255.75
34.18,1637402256.0
34.18,1637402256.25
34.18,1637402256.5
34.18,1637402256.75
34.18,1637402257.0
34.16,1637402257.25
34.16,1637402257.5
34.16,1637402257.75
34.16,1637402258.0
34.15,1637402258.25
34.15,1637402258.5
34.15,1637402258.75
34.15,1637402259.0
34.16,1637402259.25
34.16,1637402259.5
34.16,1637402259.75
34.16,1637402260.0
34.16,1637402260.25
34.16,1637402260.5
34.16,1637402260.75
34.16,1637402261.0
34.15,1637402261.25
34.15,1637402261.5
34.15,1637402261.75
34.15,1637402262.0
34.13,1637402262.25
34.13,1637402262.5
34.13,1637402262.75
34.13,1637402263.0
34.15,1637402263.25
34.15,1637402263.5
34.15,1637402263.75
34.15,1637402264.0
34.15,1637402264.25
34.15,1637402264.5
34.15,1637402264.75
34.15,1637402265.0
34.15,1637402265.25
34.15,1637402265.5
34.15,1637402265.75
34.15,1637402266.0
34.13,1637402266.25
34.13,1637402266.5
34.13,1637402266.75
34.13,1637402267.0
34.11,1637402267.25
34.11,1637402267.5
34.11,1637402267.75
34.11,1637402268.0
34.13,1637402268.25
34.13,1637402268.5
34.13,1637402268.75
34.13,1637402269.0
34.13,1637402269.25
34.13,1637402269.5
34.13,1637402269.75
34.13,1637402270.0
34.13,1637402270.25
34.13,1637402270.5
34.13,1637402270.75
34.13,1637402271.0
34.13,1637402271.25
34.13,1637402271.5
34.13,1637402271.75
34.13,1637402272.0
34.11,1637402272.25
34.11,1637402272.5
34.11,1637402272.75
34.11,1637402273.0
34.09,1637402273.25
34.09,1637402273.5
34.09,1637402273.75
34.09,1637402274.0
34.11,1637402274.25
34.11,1637402274.5
34.11,1637402274.75
34.11,1637402275.0
34.11,1637402275.25
34.11,1637402275.5
34.11,1637402275.75
34.11,1637402276.0
34.11,1637402276.25
34.11,1637402276.5
34.11,1637402276.75
34.11,1637402277.0
34.09,1637402277.25
34.09,1637402277.5
34.09,1637402277.75
34.09,1637402278.0
34.07,1637402278.25
34.07,1637402278.5
34.07,1637402278.75
34.07,1637402279.0
34.09,1637402279.25
34.09,1637402279.5
34.09,1637402279.75
34.09,1637402280.0
34.09,1637402280.25
34.09,1637402280.5
34.09,1637402280.75
34.09,1637402281.0
