eda,time
1.437384,1637402255.25
1.461719,1637402255.5
1.653936,1637402255.75
1.451571,1637402256.0
1.440044,1637402256.25
1.43364,1637402256.5
1.43364,1637402256.75
1.437483,1637402257.0
1.437483,1637402257.25
1.43364,1637402257.5
1.427236,1637402257.75
1.424675,1637402258.0
1.422113,1637402258.25
1.414428,1637402258.5
1.413148,1637402258.75
1.410586,1637402259.0
1.411867,1637402259.25
1.409305,1637402259.5
1.411867,1637402259.75
1.418271,1637402260.0
1.414428,1637402260.25
1.415709,1637402260.5
1.418271,1637402260.75
1.418271,1637402261.0
1.418271,1637402261.25
1.413148,1637402261.5
1.41699,1637402261.75
1.413148,1637402262.0
1.418271,1637402262.25
1.423394,1637402262.5
1.424675,1637402262.75
1.423394,1637402263.0
1.420832,1637402263.25
1.420832,1637402263.5
1.419551,1637402263.75
1.423394,1637402264.0
1.419551,1637402264.25
1.420832,1637402264.5
1.425956,1637402264.75
1.428517,1637402265.0
1.425956,1637402265.25
1.424675,1637402265.5
1.425956,1637402265.75
1.425956,1637402266.0
1.419551,1637402266.25
1.422113,1637402266.5
1.424675,1637402266.75
1.419551,1637402267.0
1.428517,1637402267.25
1.428517,1637402267.5
1.428517,1637402267.75
1.424675,1637402268.0
1.422113,1637402268.25
1.419551,1637402268.5
1.41699,1637402268.75
1.418271,1637402269.0
1.41699,1637402269.25
1.41699,1637402269.5
1.420832,1637402269.75
1.425956,1637402270.0
1.424675,1637402270.25
1.424675,1637402270.5
1.425956,1637402270.75
1.423394,1637402271.0
1.422113,1637402271.25
1.418271,1637402271.5
1.418271,1637402271.75
1.423394,1637402272.0
1.422113,1637402272.25
1.420832,1637402272.5
1.427236,1637402272.75
1.427236,1637402273.0
1.429798,1637402273.25
1.429798,1637402273.5
1.425956,1637402273.75
1.424675,1637402274.0
1.428517,1637402274.25
1.427236,1637402274.5
1.428517,1637402274.75
1.43364,1637402275.0
1.431079,1637402275.25
1.431079,1637402275.5
1.431079,1637402275.75
1.432359,1637402276.0
1.427236,1637402276.25
1.428517,1637402276.5
1.43364,1637402276.75
1.431079,1637402277.0
1.427236,1637402277.25
1.434921,1637402277.5
1.434921,1637402277.75
1.434921,1637402278.0
1.431079,1637402278.25
1.428517,1637402278.5
1.429798,1637402278.75
1.432359,1637402279.0
1.431079,1637402279.25
1.429798,1637402279.5
1.432359,1637402279.75
1.43364,1637402280.0
1.437483,1637402280.25
1.436202,1637402280.5
1.436202,1637402280.75
1.43364,1637402281.0
1.428517,1637402281.25
1.432359,1637402281.5
1.427236,1637402281.75
1.425956,1637402282.0
1.43364,1637402282.25
1.434921,1637402282.5
1.431079,1637402282.75
1.43364,1637402283.0
1.428517,1637402283.25
1.434921,1637402283.5
1.428517,1637402283.75
1.432359,1637402284.0
1.431079,1637402284.25
1.428517,1637402284.5
1.434921,1637402284.75
1.432359,1637402285.0
1.437483,1637402285.25
1.437483,1637402285.5
1.437483,1637402285.75
1.436202,1637402286.0
1.432359,1637402286.25
1.431079,1637402286.5
1.431079,1637402286.75
1.434921,1637402287.0
1.440044,1637402287.25
1.434921,1637402287.5
1.440044,1637402287.75
1.437483,1637402288.0
1.431079,1637402288.25
1.432359,1637402288.5
1.43364,1637402288.75
1.431079,1637402289.0
1.43364,1637402289.25
1.438763,1637402289.5
1.438763,1637402289.75
1.438763,1637402290.0
1.437483,1637402290.25
1.436202,1637402290.5
1.432359,1637402290.75
1.431079,1637402291.0
1.429798,1637402291.25
1.429798,1637402291.5
1.434921,1637402291.75
1.440044,1637402292.0
1.438763,1637402292.25
1.436202,1637402292.5
1.436202,1637402292.75
1.441325,1637402293.0
1.436202,1637402293.25
1.43364,1637402293.5
1.432359,1637402293.75
1.428517,1637402294.0
1.437483,1637402294.25
1.43364,1637402294.5
1.438763,1637402294.75
1.440044,1637402295.0
1.438763,1637402295.25
1.437483,1637402295.5
1.434921,1637402295.75
1.434921,1637402296.0
1.440044,1637402296.25
1.436202,1637402296.5
1.434921,1637402296.75
1.437483,1637402297.0
1.442606,1637402297.25
1.440044,1637402297.5
1.442606,1637402297.75
1.445167,1637402298.0
1.441325,1637402298.25
1.434921,1637402298.5
1.441325,1637402298.75
1.442606,1637402299.0
1.440044,1637402299.25
1.436202,1637402299.5
1.445167,1637402299.75
1.442606,1637402300.0
1.445167,1637402300.25
1.442606,1637402300.5
1.445167,1637402300.75
1.440044,1637402301.0
1.441325,1637402301.25
1.438763,1637402301.5
1.442606,1637402301.75
1.441325,1637402302.0
1.442606,1637402302.25
1.447729,1637402302.5
1.44901,1637402302.75
1.447729,1637402303.0
1.446448,1637402303.25
1.44901,1637402303.5
1.445167,1637402303.75
1.443887,1637402304.0
1.443887,1637402304.25
1.445167,1637402304.5
1.443887,1637402304.75
1.451571,1637402305.0
1.454133,1637402305.25
1.452852,1637402305.5
1.44901,1637402305.75
1.451571,1637402306.0
1.452852,1637402306.25
1.44901,1637402306.5
1.443887,1637402306.75
1.443887,1637402307.0
1.446448,1637402307.25
1.445167,1637402307.5
1.446448,1637402307.75
1.454133,1637402308.0
1.454133,1637402308.25
1.455414,1637402308.5
1.455414,1637402308.75
1.452852,1637402309.0
1.451571,1637402309.25
1.446448,1637402309.5
1.445167,1637402309.75
1.446448,1637402310.0
1.446448,1637402310.25
1.450291,1637402310.5
1.452852,1637402310.75
1.452852,1637402311.0
1.454133,1637402311.25
1.450291,1637402311.5
1.451571,1637402311.75
1.446448,1637402312.0
1.446448,1637402312.25
1.447729,1637402312.5
1.446448,1637402312.75
1.451571,1637402313.0
1.452852,1637402313.25
1.451571,1637402313.5
1.454133,1637402313.75
1.450291,1637402314.0
1.454133,1637402314.25
1.455414,1637402314.5
1.451571,1637402314.75
1.454133,1637402315.0
1.447729,1637402315.25
1.445167,1637402315.5
1.447729,1637402315.75
1.454133,1637402316.0
1.457975,1637402316.25
1.456694,1637402316.5
1.457975,1637402316.75
1.455414,1637402317.0
1.452852,1637402317.25
1.454133,1637402317.5
1.44901,1637402317.75
1.450291,1637402318.0
1.450291,1637402318.25
1.451571,1637402318.5
1.456694,1637402318.75
1.457975,1637402319.0
1.463098,1637402319.25
1.452852,1637402319.5
1.455414,1637402319.75
1.44901,1637402320.0
1.447729,1637402320.25
1.447729,1637402320.5
1.450291,1637402320.75
1.447729,1637402321.0
1.451571,1637402321.25
1.455414,1637402321.5
1.456694,1637402321.75
1.464379,1637402322.0
1.455414,1637402322.25
1.455414,1637402322.5
1.452852,1637402322.75
1.452852,1637402323.0
1.452852,1637402323.25
1.454133,1637402323.5
1.454133,1637402323.75
1.456694,1637402324.0
1.456694,1637402324.25
1.460537,1637402324.5
1.461818,1637402324.75
1.460537,1637402325.0
1.455414,1637402325.25
1.455414,1637402325.5
1.452852,1637402325.75
1.451571,1637402326.0
1.454133,1637402326.25
1.456694,1637402326.5
1.456694,1637402326.75
1.461818,1637402327.0
1.459256,1637402327.25
1.463098,1637402327.5
1.457975,1637402327.75
1.454133,1637402328.0
1.455414,1637402328.25
1.457975,1637402328.5
1.460537,1637402328.75
1.459256,1637402329.0
1.464379,1637402329.25
1.46566,1637402329.5
1.46566,1637402329.75
1.463098,1637402330.0
1.46566,1637402330.25
