PPG GREEN,time
2096877.0,1637402255.25
2097533.0,1637402255.29
2098444.0,1637402255.329
2099586.0,1637402255.369
2100618.0,1637402255.41
2101748.0,1637402255.45
2102699.0,1637402255.489
2103787.0,1637402255.53
2104879.0,1637402255.569
2106154.0,1637402255.609
2107317.0,1637402255.651
2108714.0,1637402255.69
2109790.0,1637402255.73
2111458.0,1637402255.771
2112679.0,1637402255.81
2114244.0,1637402255.851
2115805.0,1637402255.891
2117473.0,1637402255.93
2118858.0,1637402255.97
2120532.0,1637402256.011
2121219.0,1637402256.051
2119830.0,1637402256.09
2118262.0,1637402256.131
2117499.0,1637402256.17
2117359.0,1637402256.21
2117337.0,1637402256.252
2117708.0,1637402256.291
2117917.0,1637402256.331
2117797.0,1637402256.372
2117921.0,1637402256.411
2117962.0,1637402256.452
2118590.0,1637402256.492
2119391.0,1637402256.531
2120257.0,1637402256.571
2120779.0,1637402256.612
2121837.0,1637402256.652
2122659.0,1637402256.691
2123687.0,1637402256.732
2124613.0,1637402256.771
2125464.0,1637402256.811
2126668.0,1637402256.854
2127817.0,1637402256.892
2128947.0,1637402256.932
2130243.0,1637402256.973
2131562.0,1637402257.012
2132949.0,1637402257.053
2134126.0,1637402257.093
2135407.0,1637402257.132
2136916.0,1637402257.172
2138240.0,1637402257.213
2138390.0,1637402257.253
2137082.0,1637402257.292
2135203.0,1637402257.333
2134301.0,1637402257.373
2134309.0,1637402257.413
2134174.0,1637402257.455
2134582.0,1637402257.493
2134743.0,1637402257.533
2134709.0,1637402257.574
2134958.0,1637402257.613
2134941.0,1637402257.654
2135282.0,1637402257.694
2136002.0,1637402257.733
2136917.0,1637402257.773
2137507.0,1637402257.854
2138424.0,1637402257.894
2138909.0,1637402257.934
2140099.0,1637402257.975
2140715.0,1637402258.014
2141596.0,1637402258.054
2142613.0,1637402258.096
2143787.0,1637402258.134
2145039.0,1637402258.174
2146169.0,1637402258.215
2147346.0,1637402258.254
2148500.0,1637402258.295
2149856.0,1637402258.335
2150664.0,1637402258.374
2151254.0,1637402258.414
2149735.0,1637402258.456
2148348.0,1637402258.496
2147424.0,1637402258.535
2147058.0,1637402258.576
2147150.0,1637402258.615
2146909.0,1637402258.655
2146906.0,1637402258.697
2146834.0,1637402258.735
2146919.0,1637402258.775
2146862.0,1637402258.816
2147123.0,1637402258.855
2147732.0,1637402258.896
2148531.0,1637402258.936
2149654.0,1637402258.975
2152511.0,1637402259.016
2156360.0,1637402259.057
2161708.0,1637402259.097
2165930.0,1637402259.136
2169729.0,1637402259.177
2172302.0,1637402259.216
2173912.0,1637402259.256
2176121.0,1637402259.298
2177332.0,1637402259.336
2177181.0,1637402259.376
2176379.0,1637402259.417
2176092.0,1637402259.456
2175908.0,1637402259.497
2174715.0,1637402259.538
2171681.0,1637402259.577
2169467.0,1637402259.617
2168505.0,1637402259.658
2168254.0,1637402259.698
2167790.0,1637402259.737
2167851.0,1637402259.778
2167867.0,1637402259.817
2167673.0,1637402259.857
2167344.0,1637402259.899
2167658.0,1637402259.937
2168159.0,1637402259.977
2168204.0,1637402260.019
2168954.0,1637402260.058
2169117.0,1637402260.099
2169245.0,1637402260.139
2169685.0,1637402260.178
2169967.0,1637402260.218
