temp,time
34.93,1767084367.75
34.93,1767084368.0
34.93,1767084368.25
34.93,1767084368.5
34.93,1767084368.75
34.93,1767084369.0
34.95,1767084369.25
34.95,1767084369.5
34.95,1767084369.75
34.95,1767084370.0
34.91,1767084370.25
34.91,1767084370.5
34.91,1767084370.75
34.91,1767084371.0
34.91,1767084371.25
34.91,1767084371.5
34.91,1767084371.75
34.91,1767084372.0
34.93,1767084372.25
34.93,1767084372.5
34.93,1767084372.75
34.93,1767084373.0
34.93,1767084373.25
34.93,1767084373.5
34.93,1767084373.75
34.93,1767084374.0
34.95,1767084374.25
34.95,1767084374.5
34.95,1767084374.75
34.95,1767084375.0
34.97,1767084375.25
34.97,1767084375.5
34.97,1767084375.75
34.97,1767084376.0
34.95,1767084376.25
34.95,1767084376.5
34.95,1767084376.75
34.95,1767084377.0
34.93,1767084377.25
34.93,1767084377.5
34.93,1767084377.75
34.93,1767084378.0
34.95,1767084378.25
34.95,1767084378.5
34.95,1767084378.75
34.95,1767084379.0
34.95,1767084379.25
34.95,1767084379.5
34.95,1767084379.75
34.95,1767084380.0
34.99,1767084380.25
34.99,1767084380.5
34.99,1767084380.75
34.99,1767084381.0
34.97,1767084381.25
34.97,1767084381.5
34.97,1767084381.75
34.97,1767084382.0
34.97,1767084382.25
34.97,1767084382.5
34.97,1767084382.75
34.97,1767084383.0
34.97,1767084383.25
34.97,1767084383.5
34.97,1767084383.75
34.97,1767084384.0
34.99,1767084384.25
34.99,1767084384.5
34.99,1767084384.75
34.99,1767084385.0
34.99,1767084385.25
34.99,1767084385.5
34.99,1767084385.75
34.99,1767084386.0
34.99,1767084386.25
34.99,1767084386.5
34.99,1767084386.75
34.99,1767084387.0
34.99,1767084387.25
34.99,1767084387.5
34.99,1767084387.75
34.99,1767084388.0
34.99,1767084388.25
34.99,1767084388.5
34.99,1767084388.75
34.99,1767084389.0
34.97,1767084389.25
34.97,1767084389.5
34.97,1767084389.75
34.97,1767084390.0
34.99,1767084390.25
34.99,1767084390.5
34.99,1767084390.75
34.99,1767084391.0
34.95,1767084391.25
34.95,1767084391.5
34.95,1767084391.75
34.95,1767084392.0
34.99,1767084392.25
34.99,1767084392.5
34.99,1767084392.75
34.99,1767084393.0
34.97,1767084393.25
34.97,1767084393.5
34.97,1767084393.75
34.97,1767084394.0
34.99,1767084394.25
34.99,1767084394.5
34.99,1767084394.75
34.99,1767084395.0
34.99,1767084395.25
34.99,1767084395.5
34.99,1767084395.75
34.99,1767084396.0
34.99,1767084396.25
34.99,1767084396.5
34.99,1767084396.75
34.99,1767084397.0
34.99,1767084397.25
34.99,1767084397.5
34.99,1767084397.75
34.99,1767084398.0
34.99,1767084398.25
34.99,1767084398.5
34.99,1767084398.75
34.99,1767084399.0
34.99,1767084399.25
34.99,1767084399.5
34.99,1767084399.75
34.99,1767084400.0
