text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
blue,yellow,0,13,3,2,1641
blue,green,0,14,1,3,2000
yellow,yellow,1,1,4,1,1041
blue,yellow,0,13,4,1,1311
blue,green,0,14,2,1,1397
yellow,green,0,2,2,1,1450
yellow,red,0,4,1,1,1082
blue,blue,1,15,3,1,1104
red,yellow,0,5,4,1,1166
yellow,yellow,1,1,4,1,1014
blue,red,0,16,1,1,1425
green,blue,0,11,2,2,884
yellow,red,0,4,4,2,1480
blue,yellow,0,13,4,1,1471
red,green,0,6,2,1,1218
green,red,0,12,1,1,1172
red,red,1,8,1,1,935
yellow,yellow,1,1,4,1,885
blue,blue,1,15,3,1,977
red,red,1,8,1,1,949
green,red,0,12,1,1,1134
red,red,1,8,1,1,858
red,green,0,6,2,1,1337
red,red,1,8,1,1,811
blue,green,0,14,2,1,1081
yellow,red,0,4,1,1,1127
red,yellow,0,5,4,1,984
red,yellow,0,5,4,1,788
red,blue,0,7,3,1,1023
yellow,red,0,4,1,1,1654
green,red,0,12,1,1,1066
yellow,blue,0,3,3,1,1113
blue,green,0,14,2,1,919
green,blue,0,11,3,1,1079
red,yellow,0,5,4,1,896
blue,red,0,16,1,1,919
blue,red,0,16,1,1,908
blue,yellow,0,13,4,1,889
green,red,0,12,1,1,883
green,yellow,0,9,4,1,855
yellow,blue,0,3,3,1,912
blue,blue,1,15,3,1,773
green,red,0,12,1,1,873
yellow,blue,0,3,3,1,958
green,blue,0,11,3,1,748
green,green,1,10,2,1,762
red,green,0,6,2,1,696
yellow,red,0,4,1,1,788
red,green,0,6,2,1,1727
green,green,1,10,2,1,679
red,yellow,0,5,4,1,758
green,yellow,0,9,4,1,974
red,blue,0,7,3,1,893
green,yellow,0,9,4,1,894
red,blue,0,7,3,1,1030
red,blue,0,7,3,1,732
green,green,1,10,2,1,777
yellow,red,0,4,1,1,755
red,blue,0,7,3,1,950
yellow,green,0,2,2,1,1271
green,yellow,0,9,4,1,681
green,blue,0,11,3,1,996
blue,red,0,16,1,1,900
green,red,0,12,1,1,750
red,yellow,0,5,4,1,755
yellow,green,0,2,2,1,787
blue,green,0,14,2,1,1067
red,blue,0,7,3,1,1081
blue,blue,1,15,3,1,724
red,yellow,0,5,4,1,789
green,blue,0,11,3,1,925
blue,yellow,0,13,4,1,754
yellow,green,0,2,2,1,818
blue,red,0,16,1,1,718
green,yellow,0,9,4,1,1453
blue,green,0,14,2,1,1954
yellow,red,0,4,1,1,779
yellow,yellow,1,1,4,1,650
red,red,1,8,1,1,714
blue,green,0,14,2,1,1600
yellow,green,0,2,2,1,1003
green,yellow,0,9,4,1,788
blue,blue,1,15,3,1,742
yellow,yellow,1,1,4,1,791
blue,red,0,16,1,1,1491
blue,green,0,14,2,1,951
red,blue,0,7,2,2,776
green,blue,0,11,3,1,1059
yellow,blue,0,3,3,1,698
green,green,1,10,2,1,673
green,green,1,10,2,1,663
green,yellow,0,9,4,1,770
blue,red,0,16,1,1,757
green,green,1,10,2,1,801
yellow,red,0,4,1,1,953
blue,blue,1,15,3,1,823
green,yellow,0,9,4,1,691
green,blue,0,11,3,1,737
yellow,yellow,1,1,4,1,704
green,blue,0,11,3,1,929
red,green,0,6,2,1,1054
yellow,yellow,1,1,4,1,771
green,red,0,12,1,1,743
red,red,1,8,1,1,579
yellow,yellow,1,1,4,1,785
red,red,1,8,1,1,770
yellow,blue,0,3,3,1,1102
green,red,0,12,1,1,773
yellow,green,0,2,2,1,1010
yellow,blue,0,3,3,1,876
blue,yellow,0,13,4,1,886
yellow,blue,0,3,3,1,1028
red,green,0,6,2,1,912
green,green,1,10,2,1,559
red,green,0,6,2,1,721
yellow,green,0,2,2,1,613
blue,yellow,0,13,4,1,869
green,green,1,10,2,1,595
red,blue,0,7,3,1,999
blue,red,0,16,1,1,774
