temp,time
33.09,1644481473.75
33.09,1644481474.0
33.07,1644481474.25
33.07,1644481474.5
33.07,1644481474.75
33.07,1644481475.0
33.09,1644481475.25
33.09,1644481475.5
33.09,1644481475.75
33.09,1644481476.0
33.07,1644481476.25
33.07,1644481476.5
33.07,1644481476.75
33.07,1644481477.0
33.11,1644481477.25
33.11,1644481477.5
33.11,1644481477.75
33.11,1644481478.0
33.09,1644481478.25
33.09,1644481478.5
33.09,1644481478.75
33.09,1644481479.0
33.13,1644481479.25
33.13,1644481479.5
33.13,1644481479.75
33.13,1644481480.0
33.09,1644481480.25
33.09,1644481480.5
33.09,1644481480.75
33.09,1644481481.0
33.09,1644481481.25
33.09,1644481481.5
33.09,1644481481.75
33.09,1644481482.0
33.11,1644481482.25
33.11,1644481482.5
33.11,1644481482.75
33.11,1644481483.0
33.11,1644481483.25
33.11,1644481483.5
33.11,1644481483.75
33.11,1644481484.0
33.11,1644481484.25
33.11,1644481484.5
33.11,1644481484.75
33.11,1644481485.0
33.09,1644481485.25
33.09,1644481485.5
33.09,1644481485.75
33.09,1644481486.0
33.13,1644481486.25
33.13,1644481486.5
33.13,1644481486.75
33.13,1644481487.0
33.11,1644481487.25
33.11,1644481487.5
33.11,1644481487.75
33.11,1644481488.0
33.13,1644481488.25
33.13,1644481488.5
33.13,1644481488.75
33.13,1644481489.0
33.11,1644481489.25
33.11,1644481489.5
33.11,1644481489.75
33.11,1644481490.0
33.13,1644481490.25
33.13,1644481490.5
33.13,1644481490.75
33.13,1644481491.0
33.15,1644481491.25
33.15,1644481491.5
33.15,1644481491.75
33.15,1644481492.0
33.13,1644481492.25
33.13,1644481492.5
33.13,1644481492.75
33.13,1644481493.0
33.13,1644481493.25
33.13,1644481493.5
33.13,1644481493.75
33.13,1644481494.0
33.11,1644481494.25
33.11,1644481494.5
33.11,1644481494.75
33.11,1644481495.0
33.13,1644481495.25
33.13,1644481495.5
33.13,1644481495.75
33.13,1644481496.0
33.13,1644481496.25
33.13,1644481496.5
33.13,1644481496.75
33.13,1644481497.0
33.15,1644481497.25
33.15,1644481497.5
33.15,1644481497.75
33.15,1644481498.0
33.13,1644481498.25
33.13,1644481498.5
33.13,1644481498.75
33.13,1644481499.0
33.11,1644481499.25
33.11,1644481499.5
33.11,1644481499.75
33.11,1644481500.0
33.13,1644481500.25
33.13,1644481500.5
33.13,1644481500.75
33.13,1644481501.0
33.13,1644481501.25
33.13,1644481501.5
33.13,1644481501.75
33.13,1644481502.0
33.13,1644481502.25
33.13,1644481502.5
33.13,1644481502.75
33.13,1644481503.0
33.13,1644481503.25
33.13,1644481503.5
33.13,1644481503.75
33.13,1644481504.0
33.09,1644481504.25
33.09,1644481504.5
33.09,1644481504.75
33.09,1644481505.0
33.13,1644481505.25
33.13,1644481505.5
33.13,1644481505.75
33.13,1644481506.0
33.13,1644481506.25
33.13,1644481506.5
33.13,1644481506.75
33.13,1644481507.0
33.13,1644481507.25
33.13,1644481507.5
33.13,1644481507.75
33.13,1644481508.0
33.09,1644481508.25
33.09,1644481508.5
33.09,1644481508.75
33.09,1644481509.0
33.09,1644481509.25
33.09,1644481509.5
33.09,1644481509.75
33.09,1644481510.0
33.11,1644481510.25
33.11,1644481510.5
33.11,1644481510.75
33.11,1644481511.0
33.09,1644481511.25
33.09,1644481511.5
33.09,1644481511.75
33.09,1644481512.0
33.07,1644481512.25
33.07,1644481512.5
33.07,1644481512.75
33.07,1644481513.0
33.09,1644481513.25
33.09,1644481513.5
33.09,1644481513.75
33.09,1644481514.0
33.11,1644481514.25
33.11,1644481514.5
33.11,1644481514.75
33.11,1644481515.0
33.09,1644481515.25
